"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Warren","F","Phoenix Suns","2018-10-17","DAL",23,NA
"2","Warren","F","Phoenix Suns","2018-10-20","DEN",20,20.8457131258462
"3","Warren","F","Phoenix Suns","2018-10-22","GSW",33,20.3215991626546
"4","Warren","F","Phoenix Suns","2018-10-24","LAL",12,17.8265183314229
"5","Warren","F","Phoenix Suns","2018-10-27","MEM",3,20.1776874557981
"6","Warren","F","Phoenix Suns","2018-10-28","OKC",22,21.0964587764127
"7","Warren","F","Phoenix Suns","2018-10-31","SAS",23,22.3158406755562
"8","Warren","F","Phoenix Suns","2018-11-02","TOR",10,20.3836842423393
"10","Warren","F","Phoenix Suns","2018-11-06","BRK",0,21.3673443756997
"11","Warren","F","Phoenix Suns","2018-11-08","BOS",35,23.1603207890894
"12","Warren","F","Phoenix Suns","2018-11-10","NOP",33,20.8861063815128
"13","Warren","F","Phoenix Suns","2018-11-12","OKC",23,20.7874938620851
"14","Warren","F","Phoenix Suns","2018-11-14","SAS",33,20.7831046520051
"15","Warren","F","Phoenix Suns","2018-11-17","OKC",27,19.5973711241189
"16","Warren","F","Phoenix Suns","2018-11-19","PHI",25,20.7945107862067
"17","Warren","F","Phoenix Suns","2018-11-21","CHI",25,21.0508906277041
"18","Warren","F","Phoenix Suns","2018-11-23","MIL",23,20.5607846450763
"19","Warren","F","Phoenix Suns","2018-11-25","DET",6,20.2301773801975
"20","Warren","F","Phoenix Suns","2018-11-27","IND",29,19.9348529273448
"21","Warren","F","Phoenix Suns","2018-11-28","LAC",21,19.5004583667315
"27","Warren","F","Phoenix Suns","2018-12-10","LAC",6,18.9150105506813
"28","Warren","F","Phoenix Suns","2018-12-11","SAS",25,21.060083782193
"29","Warren","F","Phoenix Suns","2018-12-13","DAL",36,19.4467308343499
"30","Warren","F","Phoenix Suns","2018-12-15","MIN",27,18.0219108529224
"31","Warren","F","Phoenix Suns","2018-12-17","NYK",34,21.1923922575033
"32","Warren","F","Phoenix Suns","2018-12-19","BOS",23,18.0126096900675
"33","Warren","F","Phoenix Suns","2018-12-22","WAS",34,21.9858243003979
"34","Warren","F","Phoenix Suns","2018-12-23","BRK",4,17.3348298020486
"35","Warren","F","Phoenix Suns","2018-12-26","ORL",30,20.433876799902
"36","Warren","F","Phoenix Suns","2018-12-28","OKC",25,21.9603942271776
"37","Warren","F","Phoenix Suns","2018-12-29","DEN",28,22.3350425563212
"38","Warren","F","Phoenix Suns","2018-12-31","GSW",28,19.6406135555757
"39","Warren","F","Phoenix Suns","2019-01-02","PHI",9,19.1614628601416
"40","Warren","F","Phoenix Suns","2019-01-04","LAC",24,22.5746757683071
"41","Warren","F","Phoenix Suns","2019-01-06","CHO",29,19.8656407759986
"42","Warren","F","Phoenix Suns","2019-01-08","SAC",23,19.1430933759034
"43","Warren","F","Phoenix Suns","2019-01-09","DAL",24,20.5798993763591
"44","Warren","F","Phoenix Suns","2019-01-12","DEN",11,19.8353678211416
"45","Warren","F","Phoenix Suns","2019-01-15","IND",20,19.3815353523658
"46","Warren","F","Phoenix Suns","2019-01-17","TOR",13,21.5428795370679
"47","Warren","F","Phoenix Suns","2019-01-19","CHO",18,19.5709618566577
"48","Warren","F","Phoenix Suns","2019-01-20","MIN",25,22.8185347115606
