"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"10","White","PG","San Antonio Spurs","2018-11-07","MIA",0,NA
"11","White","PG","San Antonio Spurs","2018-11-10","HOU",16,10.5197916666667
"12","White","PG","San Antonio Spurs","2018-11-12","SAC",13,1.750875
"13","White","PG","San Antonio Spurs","2018-11-14","PHO",18,4.561
"14","White","PG","San Antonio Spurs","2018-11-15","LAC",0,1.031375
"15","White","PG","San Antonio Spurs","2018-11-18","GSW",2,1.68354166666667
"16","White","PG","San Antonio Spurs","2018-11-19","NOP",2,1.910125
"17","White","PG","San Antonio Spurs","2018-11-21","MEM",0,1.772
"18","White","PG","San Antonio Spurs","2018-11-23","IND",1,3.66125
"19","White","PG","San Antonio Spurs","2018-11-24","MIL",2,8.755375
"20","White","PG","San Antonio Spurs","2018-11-26","CHI",12,2.042
"21","White","PG","San Antonio Spurs","2018-11-28","MIN",6,1.9565
"22","White","PG","San Antonio Spurs","2018-11-30","HOU",13,10.638875
"23","White","PG","San Antonio Spurs","2018-12-02","POR",12,2.30029166666667
"24","White","PG","San Antonio Spurs","2018-12-04","UTA",10,1.773625
"25","White","PG","San Antonio Spurs","2018-12-05","LAL",2,2.323375
"26","White","PG","San Antonio Spurs","2018-12-07","LAL",2,1.992625
"27","White","PG","San Antonio Spurs","2018-12-09","UTA",6,1.45729166666667
"28","White","PG","San Antonio Spurs","2018-12-11","PHO",4,3.620625
"29","White","PG","San Antonio Spurs","2018-12-13","LAC",13,1.488125
"30","White","PG","San Antonio Spurs","2018-12-15","CHI",0,1.434375
"31","White","PG","San Antonio Spurs","2018-12-17","PHI",8,3.003
"32","White","PG","San Antonio Spurs","2018-12-19","ORL",11,1.9965
"33","White","PG","San Antonio Spurs","2018-12-21","MIN",7,1.9565
"34","White","PG","San Antonio Spurs","2018-12-22","HOU",7,10.535
"35","White","PG","San Antonio Spurs","2018-12-26","DEN",9,1.9445
"36","White","PG","San Antonio Spurs","2018-12-28","DEN",12,3.847375
"37","White","PG","San Antonio Spurs","2018-12-29","LAC",14,3.767125
"38","White","PG","San Antonio Spurs","2018-12-31","BOS",26,1.893875
"39","White","PG","San Antonio Spurs","2019-01-03","TOR",23,1.750875
"40","White","PG","San Antonio Spurs","2019-01-05","MEM",21,2.908
"41","White","PG","San Antonio Spurs","2019-01-07","DET",17,1.718875
"42","White","PG","San Antonio Spurs","2019-01-09","MEM",14,1.118875
"43","White","PG","San Antonio Spurs","2019-01-10","OKC",25,2.043625
"44","White","PG","San Antonio Spurs","2019-01-12","OKC",10,1.919875
"45","White","PG","San Antonio Spurs","2019-01-14","CHO",22,2.01929166666667
"46","White","PG","San Antonio Spurs","2019-01-16","DAL",6,1.782125
"47","White","PG","San Antonio Spurs","2019-01-18","MIN",19,2.13429166666667
"48","White","PG","San Antonio Spurs","2019-01-20","LAC",11,1.778875
"49","White","PG","San Antonio Spurs","2019-01-23","PHI",17,1.681125
"50","White","PG","San Antonio Spurs","2019-01-26","NOP",14,2.00129166666667
"51","White","PG","San Antonio Spurs","2019-01-27","WAS",16,1.862625
"52","White","PG","San Antonio Spurs","2019-01-29","PHO",15,2.84225
"53","White","PG","San Antonio Spurs","2019-01-31","BRK",32,1.770125
"54","White","PG","San Antonio Spurs","2019-02-02","NOP",4,1.738875
"60","White","PG","San Antonio Spurs","2019-02-22","TOR",7,2.00141666666667
"62","White","PG","San Antonio Spurs","2019-02-25","BRK",9,1.96404166666667
"63","White","PG","San Antonio Spurs","2019-02-27","DET",17,1.9565
"64","White","PG","San Antonio Spurs","2019-03-02","OKC",16,2.14475
"65","White","PG","San Antonio Spurs","2019-03-04","DEN",13,1.750875
"66","White","PG","San Antonio Spurs","2019-03-06","ATL",20,3.43354166666667
"67","White","PG","San Antonio Spurs","2019-03-10","MIL",7,1.750875
"68","White","PG","San Antonio Spurs","2019-03-12","DAL",29,1.760875
"69","White","PG","San Antonio Spurs","2019-03-15","NYK",3,2.25766666666667
"70","White","PG","San Antonio Spurs","2019-03-16","POR",13,0.909125
"71","White","PG","San Antonio Spurs","2019-03-18","GSW",16,1.905875
"72","White","PG","San Antonio Spurs","2019-03-20","MIA",3,2.1565
"73","White","PG","San Antonio Spurs","2019-03-22","HOU",20,10.5121666666667
"74","White","PG","San Antonio Spurs","2019-03-24","BOS",4,1.581125
"75","White","PG","San Antonio Spurs","2019-03-26","CHO",4,1.98775
"76","White","PG","San Antonio Spurs","2019-03-28","CLE",8,1.367625
"77","White","PG","San Antonio Spurs","2019-03-31","SAC",6,1.750875
"78","White","PG","San Antonio Spurs","2019-04-02","ATL",29,2.36704166666667
"79","White","PG","San Antonio Spurs","2019-04-03","DEN",5,1.9445
"80","White","PG","San Antonio Spurs","2019-04-05","WAS",10,4.180375
"81","White","PG","San Antonio Spurs","2019-04-07","CLE",8,1.785625
