"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Whiteside","C","Miami Heat","2018-10-17","ORL",12,NA
"2","Whiteside","C","Miami Heat","2018-10-18","WAS",9,13.735879314242
"3","Whiteside","C","Miami Heat","2018-10-20","CHO",11,16.0790675609136
"4","Whiteside","C","Miami Heat","2018-10-24","NYK",22,15.5869302820705
"5","Whiteside","C","Miami Heat","2018-10-27","POR",5,12.5304738814298
"6","Whiteside","C","Miami Heat","2018-10-29","SAC",16,16.9387113549564
"7","Whiteside","C","Miami Heat","2018-10-30","CHO",16,12.559689363791
"8","Whiteside","C","Miami Heat","2018-11-03","ATL",10,14.0221650772151
"10","Whiteside","C","Miami Heat","2018-11-07","SAS",29,16.8689959349719
"11","Whiteside","C","Miami Heat","2018-11-09","IND",11,14.562392212869
"12","Whiteside","C","Miami Heat","2018-11-10","WAS",15,14.4749980909207
"13","Whiteside","C","Miami Heat","2018-11-12","PHI",15,12.4190851724922
"14","Whiteside","C","Miami Heat","2018-11-14","BRK",14,15.3527771130574
"15","Whiteside","C","Miami Heat","2018-11-16","IND",12,12.5145105248173
"16","Whiteside","C","Miami Heat","2018-11-18","LAL",6,15.2141866632982
"17","Whiteside","C","Miami Heat","2018-11-20","BRK",21,17.0882381424964
"18","Whiteside","C","Miami Heat","2018-11-23","CHI",18,13.8239270565785
"19","Whiteside","C","Miami Heat","2018-11-25","TOR",2,12.2021312939977
"20","Whiteside","C","Miami Heat","2018-11-27","ATL",11,16.2241715578455
"21","Whiteside","C","Miami Heat","2018-11-30","NOP",12,13.9814308514759
"22","Whiteside","C","Miami Heat","2018-12-02","UTA",23,14.5401351013396
"23","Whiteside","C","Miami Heat","2018-12-04","ORL",12,13.6453616552581
"28","Whiteside","C","Miami Heat","2018-12-14","MEM",6,15.0365986711201
"29","Whiteside","C","Miami Heat","2018-12-16","NOP",17,17.9095291078176
"30","Whiteside","C","Miami Heat","2018-12-20","HOU",9,13.4132199030008
"31","Whiteside","C","Miami Heat","2018-12-22","MIL",11,14.4124270097938
"32","Whiteside","C","Miami Heat","2018-12-23","ORL",14,13.2399073217165
"33","Whiteside","C","Miami Heat","2018-12-26","TOR",16,14.2129675690528
"34","Whiteside","C","Miami Heat","2018-12-28","CLE",12,12.8300228858023
"35","Whiteside","C","Miami Heat","2018-12-30","MIN",8,14.0745237712737
"36","Whiteside","C","Miami Heat","2019-01-02","CLE",8,16.1876723611787
"37","Whiteside","C","Miami Heat","2019-01-04","WAS",21,16.2029889787399
"38","Whiteside","C","Miami Heat","2019-01-06","ATL",2,12.3379536155387
"39","Whiteside","C","Miami Heat","2019-01-08","DEN",12,17.3105268865625
"40","Whiteside","C","Miami Heat","2019-01-10","BOS",9,14.2765229412651
"42","Whiteside","C","Miami Heat","2019-01-15","MIL",19,14.8962187650887
"43","Whiteside","C","Miami Heat","2019-01-18","DET",8,14.3124029251269
"44","Whiteside","C","Miami Heat","2019-01-19","CHI",6,16.5473483317608
"45","Whiteside","C","Miami Heat","2019-01-21","BOS",6,15.5393065961102
"46","Whiteside","C","Miami Heat","2019-01-23","LAC",22,16.2291461177355
"47","Whiteside","C","Miami Heat","2019-01-25","CLE",14,10.7270382816897
"48","Whiteside","C","Miami Heat","2019-01-27","NYK",13,11.5083156620661
"49","Whiteside","C","Miami Heat","2019-01-30","CHI",8,13.8098083684942
"50","Whiteside","C","Miami Heat","2019-02-01","OKC",12,17.5472145450927
"51","Whiteside","C","Miami Heat","2019-02-02","IND",19,13.0590028204238
"52","Whiteside","C","Miami Heat","2019-02-05","POR",28,11.9213650141783
"53","Whiteside","C","Miami Heat","2019-02-08","SAC",17,11.9540637877939
"54","Whiteside","C","Miami Heat","2019-02-10","GSW",13,11.6825505090173
"55","Whiteside","C","Miami Heat","2019-02-11","DEN",6,13.4266446445441
"56","Whiteside","C","Miami Heat","2019-02-13","DAL",6,17.6049166562754
"57","Whiteside","C","Miami Heat","2019-02-21","PHI",4,16.6336025359733
"58","Whiteside","C","Miami Heat","2019-02-23","DET",13,16.9133321567424
"59","Whiteside","C","Miami Heat","2019-02-25","PHO",29,13.2161566910348
"63","Whiteside","C","Miami Heat","2019-03-04","ATL",4,12.0858265647229
"64","Whiteside","C","Miami Heat","2019-03-06","CHO",18,16.1359587911088
"65","Whiteside","C","Miami Heat","2019-03-08","CLE",11,14.4978893606768
"66","Whiteside","C","Miami Heat","2019-03-10","TOR",8,14.6540287282061
"67","Whiteside","C","Miami Heat","2019-03-13","DET",13,17.115708460872
"68","Whiteside","C","Miami Heat","2019-03-15","MIL",14,14.3068498328211
"69","Whiteside","C","Miami Heat","2019-03-17","CHO",6,14.0353852038656
"70","Whiteside","C","Miami Heat","2019-03-18","OKC",2,17.5750421568816
"71","Whiteside","C","Miami Heat","2019-03-20","SAS",12,16.5533731671309
"72","Whiteside","C","Miami Heat","2019-03-22","MIL",14,15.8905400158037
"73","Whiteside","C","Miami Heat","2019-03-23","WAS",2,15.3805564488716
"74","Whiteside","C","Miami Heat","2019-03-26","ORL",10,15.7296862890485
"75","Whiteside","C","Miami Heat","2019-03-28","DAL",12,17.2504833046611
"76","Whiteside","C","Miami Heat","2019-03-30","NYK",17,14.676251899408
"77","Whiteside","C","Miami Heat","2019-04-01","BOS",3,11.3031006853305
"78","Whiteside","C","Miami Heat","2019-04-03","BOS",18,16.4579254964522
"79","Whiteside","C","Miami Heat","2019-04-05","MIN",8,12.6183474716826
"80","Whiteside","C","Miami Heat","2019-04-07","TOR",14,16.4003449309837
