,Player,Team,Position,Date,Opp,Fantasy_Score,predictions_2019
1,Will Barton,Denver Nuggets,F,17/10/2018,LAC,25,NA
2,Will Barton,Denver Nuggets,F,20/10/2018,PHO,18,19.26187062
41,Will Barton,Denver Nuggets,F,12/01/2019,PHO,8,17.55433536
42,Will Barton,Denver Nuggets,F,13/01/2019,POR,9,18.95473887
43,Will Barton,Denver Nuggets,F,15/01/2019,GSW,17,19.29545983
45,Will Barton,Denver Nuggets,F,19/01/2019,CLE,7,19.14791054
46,Will Barton,Denver Nuggets,F,23/01/2019,UTA,30,18.57222259
47,Will Barton,Denver Nuggets,F,25/01/2019,PHO,16,19.95689103
48,Will Barton,Denver Nuggets,F,26/01/2019,PHI,18,17.31574757
49,Will Barton,Denver Nuggets,F,28/01/2019,MEM,24,19.09447176
50,Will Barton,Denver Nuggets,F,30/01/2019,NOP,8,18.284369
51,Will Barton,Denver Nuggets,F,01/02/2019,HOU,9,19.09220244
52,Will Barton,Denver Nuggets,F,02/02/2019,MIN,26,19.79941907
53,Will Barton,Denver Nuggets,F,04/02/2019,DET,12,21.29611642
54,Will Barton,Denver Nuggets,F,06/02/2019,BRK,5,19.34835336
55,Will Barton,Denver Nuggets,F,08/02/2019,PHI,14,20.35710808
56,Will Barton,Denver Nuggets,F,11/02/2019,MIA,12,19.57796455
57,Will Barton,Denver Nuggets,F,13/02/2019,SAC,15,19.36934566
58,Will Barton,Denver Nuggets,F,22/02/2019,DAL,14,18.74449832
59,Will Barton,Denver Nuggets,F,24/02/2019,LAC,5,18.37351087
60,Will Barton,Denver Nuggets,F,26/02/2019,OKC,25,19.31600557
61,Will Barton,Denver Nuggets,F,28/02/2019,UTA,23,15.08042332
62,Will Barton,Denver Nuggets,F,02/03/2019,NOP,12,19.65079892
63,Will Barton,Denver Nuggets,F,04/03/2019,SAS,16,19.35542301
64,Will Barton,Denver Nuggets,F,06/03/2019,LAL,33,20.69795131
65,Will Barton,Denver Nuggets,F,08/03/2019,GSW,7,17.17815623
66,Will Barton,Denver Nuggets,F,12/03/2019,MIN,6,19.91225707
67,Will Barton,Denver Nuggets,F,14/03/2019,DAL,13,21.57362801
68,Will Barton,Denver Nuggets,F,16/03/2019,IND,25,20.06486146
69,Will Barton,Denver Nuggets,F,18/03/2019,BOS,24,17.10489354
70,Will Barton,Denver Nuggets,F,21/03/2019,WAS,15,18.75233889
71,Will Barton,Denver Nuggets,F,22/03/2019,NYK,16,21.16119995
72,Will Barton,Denver Nuggets,F,24/03/2019,IND,21,19.99420163
73,Will Barton,Denver Nuggets,F,26/03/2019,DET,14,18.75540795
74,Will Barton,Denver Nuggets,F,28/03/2019,HOU,2,19.4445578
75,Will Barton,Denver Nuggets,F,29/03/2019,OKC,16,19.43423711
76,Will Barton,Denver Nuggets,F,31/03/2019,WAS,14,18.1361944
77,Will Barton,Denver Nuggets,F,02/04/2019,GSW,10,17.12406143
78,Will Barton,Denver Nuggets,F,03/04/2019,SAS,17,19.74266096
79,Will Barton,Denver Nuggets,F,05/04/2019,POR,4,20.00399894
80,Will Barton,Denver Nuggets,F,07/04/2019,POR,11,19.25472683
81,Will Barton,Denver Nuggets,F,09/04/2019,UTA,0,18.51017945
