"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Williams","F","Charlotte Hornets","2018-10-17","MIL",7,NA
"2","Williams","F","Charlotte Hornets","2018-10-19","ORL",12,14.67175
"3","Williams","F","Charlotte Hornets","2018-10-20","MIA",17,12.731
"4","Williams","F","Charlotte Hornets","2018-10-22","TOR",4,13.7565
"5","Williams","F","Charlotte Hornets","2018-10-24","CHI",13,14.00475
"6","Williams","F","Charlotte Hornets","2018-10-26","CHI",4,14.2039583333333
"7","Williams","F","Charlotte Hornets","2018-10-27","PHI",9,13.8639583333333
"8","Williams","F","Charlotte Hornets","2018-10-30","MIA",2,9.756
"9","Williams","F","Charlotte Hornets","2018-11-01","OKC",4,15.7718333333333
"10","Williams","F","Charlotte Hornets","2018-11-03","CLE",9,13.4244166666667
"11","Williams","F","Charlotte Hornets","2018-11-06","ATL",26,12.7566666666667
"12","Williams","F","Charlotte Hornets","2018-11-09","PHI",5,14.1344583333333
"13","Williams","F","Charlotte Hornets","2018-11-11","DET",16,7.95025
"14","Williams","F","Charlotte Hornets","2018-11-13","CLE",12,11.1892916666667
"15","Williams","F","Charlotte Hornets","2018-11-17","PHI",6,14.733125
"16","Williams","F","Charlotte Hornets","2018-11-19","BOS",9,8.87716666666667
"17","Williams","F","Charlotte Hornets","2018-11-21","IND",13,12.483875
"18","Williams","F","Charlotte Hornets","2018-11-23","OKC",14,13.4352083333333
"19","Williams","F","Charlotte Hornets","2018-11-25","ATL",28,10.195875
"20","Williams","F","Charlotte Hornets","2018-11-26","MIL",24,11.0029583333333
"21","Williams","F","Charlotte Hornets","2018-11-28","ATL",0,14.32725
"22","Williams","F","Charlotte Hornets","2018-11-30","UTA",21,15.122875
"23","Williams","F","Charlotte Hornets","2018-12-02","NOP",7,14.0837916666667
"25","Williams","F","Charlotte Hornets","2018-12-07","DEN",20,13.8468333333333
"26","Williams","F","Charlotte Hornets","2018-12-09","NYK",19,11.6195
"27","Williams","F","Charlotte Hornets","2018-12-12","DET",15,11.3776666666667
"28","Williams","F","Charlotte Hornets","2018-12-14","NYK",28,11.1926666666667
"29","Williams","F","Charlotte Hornets","2018-12-15","LAL",0,11.9436666666667
"30","Williams","F","Charlotte Hornets","2018-12-19","CLE",22,16.0645833333333
"31","Williams","F","Charlotte Hornets","2018-12-21","DET",38,14.110125
"32","Williams","F","Charlotte Hornets","2018-12-23","BOS",4,10.4792083333333
"33","Williams","F","Charlotte Hornets","2018-12-26","BRK",20,11.503375
"34","Williams","F","Charlotte Hornets","2018-12-28","BRK",6,12.723625
"35","Williams","F","Charlotte Hornets","2018-12-29","WAS",23,13.9390416666667
"36","Williams","F","Charlotte Hornets","2018-12-31","ORL",14,12.517
"37","Williams","F","Charlotte Hornets","2019-01-02","DAL",14,14.5721666666667
"38","Williams","F","Charlotte Hornets","2019-01-05","DEN",22,14.7668333333333
"39","Williams","F","Charlotte Hornets","2019-01-06","PHO",20,14.1884166666667
"40","Williams","F","Charlotte Hornets","2019-01-08","LAC",20,12.1379583333333
"41","Williams","F","Charlotte Hornets","2019-01-11","POR",10,12.7089166666667
"42","Williams","F","Charlotte Hornets","2019-01-12","SAC",8,13.616
"43","Williams","F","Charlotte Hornets","2019-01-14","SAS",17,13.4845
"44","Williams","F","Charlotte Hornets","2019-01-17","SAC",16,12.5494166666667
"45","Williams","F","Charlotte Hornets","2019-01-19","PHO",20,11.02725
"46","Williams","F","Charlotte Hornets","2019-01-20","IND",13,10.9507916666667
"47","Williams","F","Charlotte Hornets","2019-01-23","MEM",17,13.985625
"48","Williams","F","Charlotte Hornets","2019-01-25","MIL",19,14.609125
"49","Williams","F","Charlotte Hornets","2019-01-28","NYK",9,14.1369166666667
"50","Williams","F","Charlotte Hornets","2019-01-30","BOS",14,15.8266666666667
"51","Williams","F","Charlotte Hornets","2019-02-01","MEM",22,13.3742916666667
"52","Williams","F","Charlotte Hornets","2019-02-02","CHI",17,10.5603333333333
"53","Williams","F","Charlotte Hornets","2019-02-05","LAC",19,10.541125
"54","Williams","F","Charlotte Hornets","2019-02-06","DAL",7,14.2979583333333
"55","Williams","F","Charlotte Hornets","2019-02-09","ATL",33,10.1900833333333
"56","Williams","F","Charlotte Hornets","2019-02-11","IND",7,9.906375
"57","Williams","F","Charlotte Hornets","2019-02-14","ORL",7,11.8915
"58","Williams","F","Charlotte Hornets","2019-02-22","WAS",15,11.7312916666667
"59","Williams","F","Charlotte Hornets","2019-02-23","BRK",13,12.6368333333333
"60","Williams","F","Charlotte Hornets","2019-02-25","GSW",13,12.081
"61","Williams","F","Charlotte Hornets","2019-02-27","HOU",16,13.5956666666667
"62","Williams","F","Charlotte Hornets","2019-03-01","BRK",13,13.4988333333333
"63","Williams","F","Charlotte Hornets","2019-03-03","POR",8,12.3376666666667
"64","Williams","F","Charlotte Hornets","2019-03-06","MIA",15,11.3599583333333
"65","Williams","F","Charlotte Hornets","2019-03-08","WAS",44,13.8254583333333
"66","Williams","F","Charlotte Hornets","2019-03-09","MIL",7,12.2381666666667
"68","Williams","F","Charlotte Hornets","2019-03-15","WAS",2,13.2523333333333
"69","Williams","F","Charlotte Hornets","2019-03-17","MIA",2,11.6509166666667
"70","Williams","F","Charlotte Hornets","2019-03-19","PHI",9,13.9985416666667
"71","Williams","F","Charlotte Hornets","2019-03-21","MIN",19,9.423
