"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"5","Winslow","F","Miami Heat","2018-10-27","POR",12,NA
"6","Winslow","F","Miami Heat","2018-10-29","SAC",9,16.374125
"7","Winslow","F","Miami Heat","2018-10-30","CHO",5,15.983125
"8","Winslow","F","Miami Heat","2018-11-03","ATL",19,15.6263333333333
"9","Winslow","F","Miami Heat","2018-11-05","DET",11,11.1595416666667
"10","Winslow","F","Miami Heat","2018-11-07","SAS",18,11.007125
"11","Winslow","F","Miami Heat","2018-11-09","IND",13,11.2034166666667
"12","Winslow","F","Miami Heat","2018-11-10","WAS",8,9.37066666666667
"13","Winslow","F","Miami Heat","2018-11-12","PHI",7,11.108875
"14","Winslow","F","Miami Heat","2018-11-14","BRK",6,6.85241666666667
"15","Winslow","F","Miami Heat","2018-11-16","IND",7,16.5120416666667
"16","Winslow","F","Miami Heat","2018-11-18","LAL",8,17.6456666666667
"17","Winslow","F","Miami Heat","2018-11-20","BRK",14,11.0695833333333
"18","Winslow","F","Miami Heat","2018-11-23","CHI",12,16.321875
"19","Winslow","F","Miami Heat","2018-11-25","TOR",11,9.795125
"20","Winslow","F","Miami Heat","2018-11-27","ATL",13,8.88820833333333
"21","Winslow","F","Miami Heat","2018-11-30","NOP",12,16.0917916666667
"22","Winslow","F","Miami Heat","2018-12-02","UTA",11,10.823125
"23","Winslow","F","Miami Heat","2018-12-04","ORL",18,16.2739166666667
"24","Winslow","F","Miami Heat","2018-12-07","PHO",28,11.309375
"25","Winslow","F","Miami Heat","2018-12-08","LAC",23,17.084625
"26","Winslow","F","Miami Heat","2018-12-10","LAL",40,11.6255
"27","Winslow","F","Miami Heat","2018-12-12","UTA",11,7.94341666666667
"28","Winslow","F","Miami Heat","2018-12-14","MEM",6,11.1792916666667
"29","Winslow","F","Miami Heat","2018-12-16","NOP",2,16.9719166666667
"31","Winslow","F","Miami Heat","2018-12-22","MIL",12,13.2538333333333
"32","Winslow","F","Miami Heat","2018-12-23","ORL",28,16.5985
"33","Winslow","F","Miami Heat","2018-12-26","TOR",27,11.1463333333333
"34","Winslow","F","Miami Heat","2018-12-28","CLE",24,9.55120833333333
"35","Winslow","F","Miami Heat","2018-12-30","MIN",12,11.488375
"36","Winslow","F","Miami Heat","2019-01-02","CLE",10,12.5165833333333
"37","Winslow","F","Miami Heat","2019-01-04","WAS",15,9.3565
"38","Winslow","F","Miami Heat","2019-01-06","ATL",15,16.7390416666667
"39","Winslow","F","Miami Heat","2019-01-08","DEN",12,11.2169166666667
"40","Winslow","F","Miami Heat","2019-01-10","BOS",17,11.1674583333333
"41","Winslow","F","Miami Heat","2019-01-12","MEM",34,16.964375
"42","Winslow","F","Miami Heat","2019-01-15","MIL",25,10.8517083333333
"43","Winslow","F","Miami Heat","2019-01-18","DET",21,10.5505416666667
"44","Winslow","F","Miami Heat","2019-01-19","CHI",11,10.9205833333333
"45","Winslow","F","Miami Heat","2019-01-21","BOS",8,16.4056666666667
"46","Winslow","F","Miami Heat","2019-01-23","LAC",13,11.0648333333333
"47","Winslow","F","Miami Heat","2019-01-25","CLE",35,10.3830416666667
"48","Winslow","F","Miami Heat","2019-01-27","NYK",15,10.56075
"49","Winslow","F","Miami Heat","2019-01-30","CHI",18,16.383
"50","Winslow","F","Miami Heat","2019-02-01","OKC",14,10.83575
"51","Winslow","F","Miami Heat","2019-02-02","IND",9,9.68037500000001
"52","Winslow","F","Miami Heat","2019-02-05","POR",12,10.3290833333333
"53","Winslow","F","Miami Heat","2019-02-08","SAC",5,12.4401666666667
"54","Winslow","F","Miami Heat","2019-02-10","GSW",30,10.2563333333333
"55","Winslow","F","Miami Heat","2019-02-11","DEN",17,10.479875
"56","Winslow","F","Miami Heat","2019-02-13","DAL",13,11.1464583333333
"57","Winslow","F","Miami Heat","2019-02-21","PHI",13,11.0663333333333
"60","Winslow","F","Miami Heat","2019-02-27","GSW",16,11.127125
"61","Winslow","F","Miami Heat","2019-02-28","HOU",25,11.2349583333333
"62","Winslow","F","Miami Heat","2019-03-02","BRK",15,10.353125
"63","Winslow","F","Miami Heat","2019-03-04","ATL",20,17.0012083333333
"64","Winslow","F","Miami Heat","2019-03-06","CHO",11,13.376375
"65","Winslow","F","Miami Heat","2019-03-08","CLE",18,15.58375
"66","Winslow","F","Miami Heat","2019-03-10","TOR",12,12.8967916666667
"67","Winslow","F","Miami Heat","2019-03-13","DET",20,8.516
"68","Winslow","F","Miami Heat","2019-03-15","MIL",26,11.2397916666667
"78","Winslow","F","Miami Heat","2019-04-03","BOS",4,10.7469583333333
"79","Winslow","F","Miami Heat","2019-04-05","MIN",15,16.5750416666667
"80","Winslow","F","Miami Heat","2019-04-07","TOR",17,11.1257083333333
"81","Winslow","F","Miami Heat","2019-04-09","PHI",24,11.0345833333333
