"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Young","F","Indiana Pacers","2018-10-17","MEM",10,NA
"2","Young","F","Indiana Pacers","2018-10-19","MIL",7,8.35820833333333
"3","Young","F","Indiana Pacers","2018-10-20","BRK",10,13.781875
"4","Young","F","Indiana Pacers","2018-10-22","MIN",9,14.5852083333333
"5","Young","F","Indiana Pacers","2018-10-24","SAS",16,15.7949166666667
"6","Young","F","Indiana Pacers","2018-10-27","CLE",10,16.79675
"7","Young","F","Indiana Pacers","2018-10-29","POR",18,10.2629583333333
"8","Young","F","Indiana Pacers","2018-10-31","NYK",15,16.7270833333333
"9","Young","F","Indiana Pacers","2018-11-02","CHI",8,15.4555416666667
"10","Young","F","Indiana Pacers","2018-11-03","BOS",4,11.7024166666667
"11","Young","F","Indiana Pacers","2018-11-05","HOU",8,13.9670833333333
"12","Young","F","Indiana Pacers","2018-11-07","PHI",6,13.6775833333333
"13","Young","F","Indiana Pacers","2018-11-09","MIA",3,9.59833333333334
"14","Young","F","Indiana Pacers","2018-11-11","HOU",13,12.175375
"15","Young","F","Indiana Pacers","2018-11-16","MIA",6,14.5088333333333
"16","Young","F","Indiana Pacers","2018-11-17","ATL",11,14.4439166666667
"17","Young","F","Indiana Pacers","2018-11-19","UTA",12,17.3039166666667
"18","Young","F","Indiana Pacers","2018-11-21","CHO",16,15.2011666666667
"19","Young","F","Indiana Pacers","2018-11-23","SAS",12,10.4949583333333
"20","Young","F","Indiana Pacers","2018-11-26","UTA",6,12.8665416666667
"21","Young","F","Indiana Pacers","2018-11-27","PHO",15,13.2295833333333
"22","Young","F","Indiana Pacers","2018-11-29","LAL",11,17.142375
"23","Young","F","Indiana Pacers","2018-12-01","SAC",14,15.1583333333333
"24","Young","F","Indiana Pacers","2018-12-04","CHI",6,14.555125
"25","Young","F","Indiana Pacers","2018-12-07","ORL",18,13.4214583333333
"26","Young","F","Indiana Pacers","2018-12-08","SAC",22,15.036875
"27","Young","F","Indiana Pacers","2018-12-10","WAS",18,11.983375
"28","Young","F","Indiana Pacers","2018-12-12","MIL",27,13.88325
"29","Young","F","Indiana Pacers","2018-12-14","PHI",26,14.0358333333333
"30","Young","F","Indiana Pacers","2018-12-16","NYK",10,15.5155416666667
"31","Young","F","Indiana Pacers","2018-12-18","CLE",13,12.6082083333333
"32","Young","F","Indiana Pacers","2018-12-19","TOR",13,9.52579166666666
"33","Young","F","Indiana Pacers","2018-12-21","BRK",23,14.2554166666667
"34","Young","F","Indiana Pacers","2018-12-23","WAS",10,14.6522083333333
"35","Young","F","Indiana Pacers","2018-12-26","ATL",23,12.882875
"36","Young","F","Indiana Pacers","2018-12-28","DET",17,15.5095416666667
"37","Young","F","Indiana Pacers","2018-12-31","ATL",6,14.7134166666667
"38","Young","F","Indiana Pacers","2019-01-04","CHI",16,15.3379583333333
"39","Young","F","Indiana Pacers","2019-01-06","TOR",14,12.291875
"40","Young","F","Indiana Pacers","2019-01-08","CLE",32,12.6232916666667
"41","Young","F","Indiana Pacers","2019-01-09","BOS",10,15.19075
"42","Young","F","Indiana Pacers","2019-01-11","NYK",15,10.4954166666667
"43","Young","F","Indiana Pacers","2019-01-15","PHO",12,15.4310416666667
"44","Young","F","Indiana Pacers","2019-01-17","PHI",33,12.7932083333333
"45","Young","F","Indiana Pacers","2019-01-19","DAL",8,15.4994166666667
"46","Young","F","Indiana Pacers","2019-01-20","CHO",9,11.0104166666667
"47","Young","F","Indiana Pacers","2019-01-23","TOR",27,14.3891666666667
"48","Young","F","Indiana Pacers","2019-01-26","MEM",7,13.6003333333333
"49","Young","F","Indiana Pacers","2019-01-28","GSW",13,11.079625
"50","Young","F","Indiana Pacers","2019-01-30","WAS",15,11.3672916666667
"51","Young","F","Indiana Pacers","2019-01-31","ORL",16,13.5119166666667
"52","Young","F","Indiana Pacers","2019-02-02","MIA",13,12.2487916666667
"53","Young","F","Indiana Pacers","2019-02-04","NOP",14,13.221875
"54","Young","F","Indiana Pacers","2019-02-05","LAL",12,15.9205416666667
"55","Young","F","Indiana Pacers","2019-02-07","LAC",18,12.410875
"56","Young","F","Indiana Pacers","2019-02-09","CLE",12,13.84175
"57","Young","F","Indiana Pacers","2019-02-11","CHO",11,13.2625
"58","Young","F","Indiana Pacers","2019-02-13","MIL",9,9.60679166666666
"59","Young","F","Indiana Pacers","2019-02-22","NOP",18,10.984
"60","Young","F","Indiana Pacers","2019-02-23","WAS",24,13.136
"61","Young","F","Indiana Pacers","2019-02-25","DET",10,15.5332083333333
"62","Young","F","Indiana Pacers","2019-02-27","DAL",11,11.1172916666667
"63","Young","F","Indiana Pacers","2019-02-28","MIN",21,15.0142916666667
"64","Young","F","Indiana Pacers","2019-03-02","ORL",15,15.970625
"65","Young","F","Indiana Pacers","2019-03-05","CHI",13,13.10425
"66","Young","F","Indiana Pacers","2019-03-07","MIL",14,12.4163333333333
"67","Young","F","Indiana Pacers","2019-03-10","PHI",9,12.739375
"68","Young","F","Indiana Pacers","2019-03-12","NYK",14,12.1140833333333
"69","Young","F","Indiana Pacers","2019-03-14","OKC",11,10.8615416666667
"70","Young","F","Indiana Pacers","2019-03-16","DEN",22,15.0037083333333
"71","Young","F","Indiana Pacers","2019-03-18","POR",2,12.5805
"72","Young","F","Indiana Pacers","2019-03-19","LAC",11,11.6335
"73","Young","F","Indiana Pacers","2019-03-21","GSW",22,10.5998333333333
"74","Young","F","Indiana Pacers","2019-03-24","DEN",8,14.8394166666667
"75","Young","F","Indiana Pacers","2019-03-27","OKC",13,15.7455416666667
"76","Young","F","Indiana Pacers","2019-03-29","BOS",20,17.1360416666667
"77","Young","F","Indiana Pacers","2019-03-30","ORL",10,8.16454166666666
"78","Young","F","Indiana Pacers","2019-04-01","DET",19,13.96275
"79","Young","F","Indiana Pacers","2019-04-03","DET",25,10.3752083333333
"80","Young","F","Indiana Pacers","2019-04-05","BOS",10,10.6274583333333
