"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Zeller","C","Charlotte Hornets","2018-10-17","MIL",7,NA
"2","Zeller","C","Charlotte Hornets","2018-10-19","ORL",8,7.52359148204737
"3","Zeller","C","Charlotte Hornets","2018-10-20","MIA",11,7.10968365376454
"4","Zeller","C","Charlotte Hornets","2018-10-22","TOR",2,6.81850995246584
"5","Zeller","C","Charlotte Hornets","2018-10-24","CHI",14,8.82535135697636
"6","Zeller","C","Charlotte Hornets","2018-10-26","CHI",14,6.81174813789152
"7","Zeller","C","Charlotte Hornets","2018-10-27","PHI",12,6.11091839818678
"8","Zeller","C","Charlotte Hornets","2018-10-30","MIA",11,7.58163008233596
"9","Zeller","C","Charlotte Hornets","2018-11-01","OKC",5,6.83963006846095
"10","Zeller","C","Charlotte Hornets","2018-11-03","CLE",6,6.66449415576253
"11","Zeller","C","Charlotte Hornets","2018-11-06","ATL",4,9.17476964701965
"12","Zeller","C","Charlotte Hornets","2018-11-09","PHI",14,8.68202453102453
"13","Zeller","C","Charlotte Hornets","2018-11-11","DET",14,7.75853484424073
"14","Zeller","C","Charlotte Hornets","2018-11-13","CLE",9,6.40984597755186
"15","Zeller","C","Charlotte Hornets","2018-11-17","PHI",10,7.72895647122486
"16","Zeller","C","Charlotte Hornets","2018-11-19","BOS",9,7.71566579662168
"17","Zeller","C","Charlotte Hornets","2018-11-21","IND",15,8.86663571844822
"18","Zeller","C","Charlotte Hornets","2018-11-23","OKC",10,6.88579133774722
"19","Zeller","C","Charlotte Hornets","2018-11-25","ATL",7,9.16902397602398
"20","Zeller","C","Charlotte Hornets","2018-11-26","MIL",8,7.33568769833108
"21","Zeller","C","Charlotte Hornets","2018-11-28","ATL",19,7.51925468975469
"22","Zeller","C","Charlotte Hornets","2018-11-30","UTA",0,6.64568363988952
"24","Zeller","C","Charlotte Hornets","2018-12-05","MIN",11,8.78852803446554
"25","Zeller","C","Charlotte Hornets","2018-12-07","DEN",8,9.45535624098124
"26","Zeller","C","Charlotte Hornets","2018-12-09","NYK",12,6.87574478707567
"27","Zeller","C","Charlotte Hornets","2018-12-12","DET",12,7.17990892848981
"28","Zeller","C","Charlotte Hornets","2018-12-14","NYK",23,6.63071530960869
"29","Zeller","C","Charlotte Hornets","2018-12-15","LAL",8,7.06348630944219
"30","Zeller","C","Charlotte Hornets","2018-12-19","CLE",4,6.49346439385777
"31","Zeller","C","Charlotte Hornets","2018-12-21","DET",3,8.88848095654346
"32","Zeller","C","Charlotte Hornets","2018-12-23","BOS",5,6.9551812186996
"33","Zeller","C","Charlotte Hornets","2018-12-26","BRK",4,7.80290596617435
"34","Zeller","C","Charlotte Hornets","2018-12-28","BRK",16,7.93087211399712
"35","Zeller","C","Charlotte Hornets","2018-12-29","WAS",8,6.93790105033855
"36","Zeller","C","Charlotte Hornets","2018-12-31","ORL",14,7.20070248909587
"53","Zeller","C","Charlotte Hornets","2019-02-05","LAC",6,6.88619808377897
"54","Zeller","C","Charlotte Hornets","2019-02-06","DAL",9,6.56560598837437
"55","Zeller","C","Charlotte Hornets","2019-02-09","ATL",10,6.99786294669383
"56","Zeller","C","Charlotte Hornets","2019-02-11","IND",18,6.83687113988952
"57","Zeller","C","Charlotte Hornets","2019-02-14","ORL",13,7.38088115071204
"58","Zeller","C","Charlotte Hornets","2019-02-22","WAS",11,7.7368880188439
"59","Zeller","C","Charlotte Hornets","2019-02-23","BRK",13,6.62208244941333
"60","Zeller","C","Charlotte Hornets","2019-02-25","GSW",28,6.85879944075532
"61","Zeller","C","Charlotte Hornets","2019-02-27","HOU",13,6.5012279219963
"62","Zeller","C","Charlotte Hornets","2019-03-01","BRK",12,6.80117229012817
"63","Zeller","C","Charlotte Hornets","2019-03-03","POR",9,6.67644150008488
"64","Zeller","C","Charlotte Hornets","2019-03-06","MIA",10,7.42871547610886
"65","Zeller","C","Charlotte Hornets","2019-03-08","WAS",8,8.59185633116883
