"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","Zizic","C","Cleveland Cavaliers","2018-10-17","TOR",5,NA
"2","Zizic","C","Cleveland Cavaliers","2018-10-19","MIN",7,6.43
"3","Zizic","C","Cleveland Cavaliers","2018-10-21","ATL",4,4.64366666666667
"4","Zizic","C","Cleveland Cavaliers","2018-10-24","BRK",0,7.56529166666667
"6","Zizic","C","Cleveland Cavaliers","2018-10-27","IND",1,2.44370833333333
"7","Zizic","C","Cleveland Cavaliers","2018-10-30","ATL",4,2.99333333333333
"8","Zizic","C","Cleveland Cavaliers","2018-11-01","DEN",3,6.10991666666667
"9","Zizic","C","Cleveland Cavaliers","2018-11-03","CHO",2,4.571875
"11","Zizic","C","Cleveland Cavaliers","2018-11-07","OKC",10,6.08116666666667
"12","Zizic","C","Cleveland Cavaliers","2018-11-10","CHI",4,7.3525
"13","Zizic","C","Cleveland Cavaliers","2018-11-13","CHO",0,8.22391666666667
"14","Zizic","C","Cleveland Cavaliers","2018-11-14","WAS",2,1.733875
"15","Zizic","C","Cleveland Cavaliers","2018-11-19","DET",12,5.44141666666667
"17","Zizic","C","Cleveland Cavaliers","2018-11-23","PHI",0,7.69895833333333
"19","Zizic","C","Cleveland Cavaliers","2018-11-26","MIN",0,2.50929166666667
"20","Zizic","C","Cleveland Cavaliers","2018-11-28","OKC",0,3.68654166666666
"21","Zizic","C","Cleveland Cavaliers","2018-11-30","BOS",5,3.89866666666667
"25","Zizic","C","Cleveland Cavaliers","2018-12-07","SAC",2,5.90625
"30","Zizic","C","Cleveland Cavaliers","2018-12-16","PHI",7,4.80658333333333
"31","Zizic","C","Cleveland Cavaliers","2018-12-18","IND",2,8.29041666666667
"32","Zizic","C","Cleveland Cavaliers","2018-12-19","CHO",7,4.79691666666667
"33","Zizic","C","Cleveland Cavaliers","2018-12-21","TOR",11,6.16108333333333
"34","Zizic","C","Cleveland Cavaliers","2018-12-23","CHI",0,8.92454166666666
"35","Zizic","C","Cleveland Cavaliers","2018-12-26","MEM",6,4.66783333333333
"41","Zizic","C","Cleveland Cavaliers","2019-01-08","IND",6,6.855125
"42","Zizic","C","Cleveland Cavaliers","2019-01-09","NOP",10,4.19491666666667
"43","Zizic","C","Cleveland Cavaliers","2019-01-11","HOU",18,6.91375
"44","Zizic","C","Cleveland Cavaliers","2019-01-13","LAL",0,7.20045833333333
"45","Zizic","C","Cleveland Cavaliers","2019-01-16","POR",16,3.34291666666667
"46","Zizic","C","Cleveland Cavaliers","2019-01-18","UTA",15,8.99283333333333
"47","Zizic","C","Cleveland Cavaliers","2019-01-19","DEN",23,7.113875
"48","Zizic","C","Cleveland Cavaliers","2019-01-21","CHI",13,8.639625
"49","Zizic","C","Cleveland Cavaliers","2019-01-23","BOS",19,5.90095833333334
"50","Zizic","C","Cleveland Cavaliers","2019-01-25","MIA",11,9.550875
"51","Zizic","C","Cleveland Cavaliers","2019-01-27","CHI",8,7.49570833333333
"52","Zizic","C","Cleveland Cavaliers","2019-01-29","WAS",12,7.13295833333333
"53","Zizic","C","Cleveland Cavaliers","2019-02-02","DAL",8,7.31154166666667
"54","Zizic","C","Cleveland Cavaliers","2019-02-05","BOS",8,9.42658333333333
"55","Zizic","C","Cleveland Cavaliers","2019-02-08","WAS",6,7.072
"56","Zizic","C","Cleveland Cavaliers","2019-02-09","IND",3,7.63308333333333
"58","Zizic","C","Cleveland Cavaliers","2019-02-13","BRK",6,4.52420833333333
"59","Zizic","C","Cleveland Cavaliers","2019-02-21","PHO",15,8.25516666666667
"60","Zizic","C","Cleveland Cavaliers","2019-02-23","MEM",18,8.359125
"61","Zizic","C","Cleveland Cavaliers","2019-02-25","POR",4,7.61958333333333
"62","Zizic","C","Cleveland Cavaliers","2019-02-28","NYK",8,11.238875
"66","Zizic","C","Cleveland Cavaliers","2019-03-08","MIA",6,9.62129166666667
"67","Zizic","C","Cleveland Cavaliers","2019-03-11","TOR",17,5.57595833333333
"68","Zizic","C","Cleveland Cavaliers","2019-03-12","PHI",12,6.78575
"69","Zizic","C","Cleveland Cavaliers","2019-03-14","ORL",11,7.945875
"70","Zizic","C","Cleveland Cavaliers","2019-03-16","DAL",11,8.99125
"71","Zizic","C","Cleveland Cavaliers","2019-03-18","DET",8,7.15220833333333
"72","Zizic","C","Cleveland Cavaliers","2019-03-20","MIL",8,6.247125
"73","Zizic","C","Cleveland Cavaliers","2019-03-22","LAC",0,9.34299999999999
"77","Zizic","C","Cleveland Cavaliers","2019-03-30","LAC",4,4.67420833333333
"78","Zizic","C","Cleveland Cavaliers","2019-04-01","PHO",15,9.092125
"79","Zizic","C","Cleveland Cavaliers","2019-04-04","SAC",14,7.33279166666667
"80","Zizic","C","Cleveland Cavaliers","2019-04-05","GSW",12,7.49291666666667
"81","Zizic","C","Cleveland Cavaliers","2019-04-07","SAS",14,7.21291666666667
