"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","curry","PG","Golden State Warriors","2018-10-16","OKC",42,NA
"2","curry","PG","Golden State Warriors","2018-10-19","UTA",41,20.09
"3","curry","PG","Golden State Warriors","2018-10-21","DEN",42,19.91
"4","curry","PG","Golden State Warriors","2018-10-22","PHO",41,19.955
"5","curry","PG","Golden State Warriors","2018-10-24","WAS",73,20.585
"6","curry","PG","Golden State Warriors","2018-10-26","NYK",41,20.315
"7","curry","PG","Golden State Warriors","2018-10-28","BRK",49,19.865
"8","curry","PG","Golden State Warriors","2018-10-29","CHI",27,20.135
"9","curry","PG","Golden State Warriors","2018-10-31","NOP",51,19.235
"10","curry","PG","Golden State Warriors","2018-11-02","MIN",36,19.595
"11","curry","PG","Golden State Warriors","2018-11-05","MEM",25,20.54
"12","curry","PG","Golden State Warriors","2018-11-08","MIL",10,19.73
"24","curry","PG","Golden State Warriors","2018-12-01","DET",33,20.225
"25","curry","PG","Golden State Warriors","2018-12-03","ATL",42,19.865
"26","curry","PG","Golden State Warriors","2018-12-05","CLE",60,20.225
"27","curry","PG","Golden State Warriors","2018-12-07","MIL",28,20.495
"28","curry","PG","Golden State Warriors","2018-12-10","MIN",52,19.91
"29","curry","PG","Golden State Warriors","2018-12-12","TOR",14,20.9
"30","curry","PG","Golden State Warriors","2018-12-14","SAC",45,19.91
"31","curry","PG","Golden State Warriors","2018-12-17","MEM",26,19.46
"32","curry","PG","Golden State Warriors","2018-12-19","UTA",42,18.875
"33","curry","PG","Golden State Warriors","2018-12-22","DAL",34,19.91
"34","curry","PG","Golden State Warriors","2018-12-23","LAC",54,18.695
"35","curry","PG","Golden State Warriors","2018-12-25","LAL",19,19.28
"36","curry","PG","Golden State Warriors","2018-12-27","POR",41,19.055
"37","curry","PG","Golden State Warriors","2018-12-29","POR",29,20.315
"38","curry","PG","Golden State Warriors","2018-12-31","PHO",44,19.595
"39","curry","PG","Golden State Warriors","2019-01-03","HOU",45,20.45
"40","curry","PG","Golden State Warriors","2019-01-05","SAC",62,19.505
"41","curry","PG","Golden State Warriors","2019-01-08","NYK",20,19.685
"42","curry","PG","Golden State Warriors","2019-01-11","CHI",38,19.64
"43","curry","PG","Golden State Warriors","2019-01-13","DAL",70,19.865
"44","curry","PG","Golden State Warriors","2019-01-15","DEN",47,19.1
"45","curry","PG","Golden State Warriors","2019-01-16","NOP",59,20.135
"46","curry","PG","Golden State Warriors","2019-01-18","LAC",34,19.73
"47","curry","PG","Golden State Warriors","2019-01-21","LAL",15,20.18
"48","curry","PG","Golden State Warriors","2019-01-24","WAS",42,18.875
"49","curry","PG","Golden State Warriors","2019-01-26","BOS",36,20.315
"50","curry","PG","Golden State Warriors","2019-01-28","IND",38,19.46
"51","curry","PG","Golden State Warriors","2019-01-31","PHI",61,20.405
"52","curry","PG","Golden State Warriors","2019-02-02","LAL",18,19.55
"53","curry","PG","Golden State Warriors","2019-02-06","SAS",25,19.91
"54","curry","PG","Golden State Warriors","2019-02-08","PHO",26,19.775
"55","curry","PG","Golden State Warriors","2019-02-10","MIA",35,19.955
"56","curry","PG","Golden State Warriors","2019-02-12","UTA",34,19.055
"57","curry","PG","Golden State Warriors","2019-02-13","POR",42,20.09
"58","curry","PG","Golden State Warriors","2019-02-21","SAC",56,19.82
"59","curry","PG","Golden State Warriors","2019-02-23","HOU",35,20.27
"60","curry","PG","Golden State Warriors","2019-02-25","CHO",24,20.18
"61","curry","PG","Golden State Warriors","2019-02-27","MIA",32,19.46
"62","curry","PG","Golden State Warriors","2019-02-28","ORL",43,19.55
"63","curry","PG","Golden State Warriors","2019-03-02","PHI",38,20.135
"64","curry","PG","Golden State Warriors","2019-03-05","BOS",31,19.505
"65","curry","PG","Golden State Warriors","2019-03-08","DEN",25,19.64
"66","curry","PG","Golden State Warriors","2019-03-10","PHO",26,19.1
"67","curry","PG","Golden State Warriors","2019-03-13","HOU",30,20
"68","curry","PG","Golden State Warriors","2019-03-16","OKC",43,18.875
"69","curry","PG","Golden State Warriors","2019-03-18","SAS",37,19.91
"70","curry","PG","Golden State Warriors","2019-03-19","MIN",52,19.73
"71","curry","PG","Golden State Warriors","2019-03-21","IND",25,19.91
"73","curry","PG","Golden State Warriors","2019-03-24","DET",36,20.45
"74","curry","PG","Golden State Warriors","2019-03-27","MEM",40,19.28
"75","curry","PG","Golden State Warriors","2019-03-29","MIN",59,19.19
"76","curry","PG","Golden State Warriors","2019-03-31","CHO",35,20.585
"77","curry","PG","Golden State Warriors","2019-04-02","DEN",27,19.64
"78","curry","PG","Golden State Warriors","2019-04-04","LAL",9,20.09
"79","curry","PG","Golden State Warriors","2019-04-05","CLE",58,21.62
"80","curry","PG","Golden State Warriors","2019-04-07","LAC",33,20.54
