"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","durant","F","Golden State Warriors","2017-10-17","HOU",24,NA
"2","durant","F","Golden State Warriors","2017-10-20","NOP",28,32.2694395167373
"3","durant","F","Golden State Warriors","2017-10-21","MEM",37,29.8382068600405
"4","durant","F","Golden State Warriors","2017-10-23","DAL",33,31.2396091026575
"5","durant","F","Golden State Warriors","2017-10-25","TOR",35,32.1304475535455
"6","durant","F","Golden State Warriors","2017-10-27","WAS",39,30.5531662541662
"7","durant","F","Golden State Warriors","2017-10-29","DET",34,32.2968202104438
"8","durant","F","Golden State Warriors","2017-10-30","LAC",23,31.4863485935475
"9","durant","F","Golden State Warriors","2017-11-02","SAS",28,29.8025966128196
"10","durant","F","Golden State Warriors","2017-11-04","DEN",33,29.7264283200908
"11","durant","F","Golden State Warriors","2017-11-06","MIA",23,30.8562030782496
"13","durant","F","Golden State Warriors","2017-11-11","PHI",35,28.781990565061
"14","durant","F","Golden State Warriors","2017-11-13","ORL",21,32.5248975578017
"15","durant","F","Golden State Warriors","2017-11-16","BOS",28,31.6076683437031
"16","durant","F","Golden State Warriors","2017-11-18","PHI",29,29.5783463787632
"18","durant","F","Golden State Warriors","2017-11-22","OKC",27,28.2506290234118
"22","durant","F","Golden State Warriors","2017-11-29","LAL",35,29.5496331596061
"23","durant","F","Golden State Warriors","2017-12-01","ORL",25,32.1238613068459
"24","durant","F","Golden State Warriors","2017-12-03","MIA",28,33.2899648223998
"25","durant","F","Golden State Warriors","2017-12-04","NOP",21,29.2456356672525
"26","durant","F","Golden State Warriors","2017-12-06","CHO",41,30.3709121611601
"27","durant","F","Golden State Warriors","2017-12-08","DET",42,31.2024117405057
"28","durant","F","Golden State Warriors","2017-12-11","POR",32,30.8462231488773
"29","durant","F","Golden State Warriors","2017-12-14","DAL",44,33.0272682193041
"30","durant","F","Golden State Warriors","2017-12-18","LAL",44,30.0412977504676
"31","durant","F","Golden State Warriors","2017-12-20","MEM",26,31.2879994234197
"32","durant","F","Golden State Warriors","2017-12-22","LAL",39,28.7554924075109
"33","durant","F","Golden State Warriors","2017-12-23","DEN",18,30.823613418526
"34","durant","F","Golden State Warriors","2017-12-25","CLE",31,29.135967711509
"35","durant","F","Golden State Warriors","2017-12-27","UTA",25,29.9070590734934
"36","durant","F","Golden State Warriors","2017-12-29","CHO",35,29.4629608042733
"37","durant","F","Golden State Warriors","2017-12-30","MEM",24,29.5786088531624
"38","durant","F","Golden State Warriors","2018-01-03","DAL",27,29.1353386219174
"42","durant","F","Golden State Warriors","2018-01-10","LAC",52,32.2398570957758
"43","durant","F","Golden State Warriors","2018-01-12","MIL",30,29.7606322318047
"44","durant","F","Golden State Warriors","2018-01-13","TOR",31,30.8080428924172
"45","durant","F","Golden State Warriors","2018-01-15","CLE",40,31.0565637687631
"46","durant","F","Golden State Warriors","2018-01-17","CHI",19,28.2735260877452
"47","durant","F","Golden State Warriors","2018-01-20","HOU",34,28.3463522382568
"48","durant","F","Golden State Warriors","2018-01-23","NYK",18,30.8649769700072
"49","durant","F","Golden State Warriors","2018-01-25","MIN",40,30.5591562457968
"50","durant","F","Golden State Warriors","2018-01-27","BOS",22,29.6095652593924
"51","durant","F","Golden State Warriors","2018-01-30","UTA",17,29.073382675593
"52","durant","F","Golden State Warriors","2018-02-02","SAC",45,28.9967149515841
"53","durant","F","Golden State Warriors","2018-02-03","DEN",31,33.7265207635657
"54","durant","F","Golden State Warriors","2018-02-06","OKC",39,30.8616372448025
"55","durant","F","Golden State Warriors","2018-02-08","DAL",32,30.2072071065742
"56","durant","F","Golden State Warriors","2018-02-10","SAS",10,30.7392150791203
"57","durant","F","Golden State Warriors","2018-02-12","PHO",19,33.0033981406666
"58","durant","F","Golden State Warriors","2018-02-14","POR",62,31.9971331566198
"59","durant","F","Golden State Warriors","2018-02-22","LAC",28,37.1543782086867
"60","durant","F","Golden State Warriors","2018-02-24","OKC",36,27.7215910688425
"61","durant","F","Golden State Warriors","2018-02-26","NYK",26,32.2410166836218
"62","durant","F","Golden State Warriors","2018-02-28","WAS",38,29.3218513046764
"63","durant","F","Golden State Warriors","2018-03-02","ATL",28,31.1532650535694
"64","durant","F","Golden State Warriors","2018-03-06","BRK",23,28.7533774464421
"65","durant","F","Golden State Warriors","2018-03-08","SAS",45,28.885959974458
"66","durant","F","Golden State Warriors","2018-03-09","POR",52,30.5693256757534
"67","durant","F","Golden State Warriors","2018-03-11","MIN",49,32.5592455264996
"68","durant","F","Golden State Warriors","2018-03-14","LAL",28,31.4124699576353
"75","durant","F","Golden State Warriors","2018-03-29","MIL",12,28.8754440583968
"76","durant","F","Golden State Warriors","2018-03-31","SAC",31,29.3466986189721
"77","durant","F","Golden State Warriors","2018-04-01","PHO",35,30.5226342390709
"78","durant","F","Golden State Warriors","2018-04-03","OKC",38,28.8553426944126
"79","durant","F","Golden State Warriors","2018-04-05","IND",31,26.0273148588494
"80","durant","F","Golden State Warriors","2018-04-07","NOP",49,28.8594288561729
"81","durant","F","Golden State Warriors","2018-04-08","PHO",21,33.0728137504607
