"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","forbes","F","San Antonio Spurs","17-10-18","MIN",13,NA
"2","forbes","F","San Antonio Spurs","20-10-18","POR",27,6.23079166666667
"3","forbes","F","San Antonio Spurs","22-10-18","LAL",24,NA
"4","forbes","F","San Antonio Spurs","24-10-18","IND",19,NA
"5","forbes","F","San Antonio Spurs","27-10-18","LAL",18,11.3647083333333
"6","forbes","F","San Antonio Spurs","29-10-18","DAL",16,8.04741666666666
"7","forbes","F","San Antonio Spurs","31-10-18","PHO",7,NA
"8","forbes","F","San Antonio Spurs","03-11-18","NOP",7,7.72829166666667
"9","forbes","F","San Antonio Spurs","04-11-18","ORL",17,7.74525
"10","forbes","F","San Antonio Spurs","07-11-18","MIA",16,9.26829166666667
"11","forbes","F","San Antonio Spurs","10-11-18","HOU",19,7.69633333333333
"12","forbes","F","San Antonio Spurs","12-11-18","SAC",14,13.2017083333333
"13","forbes","F","San Antonio Spurs","14-11-18","PHO",19,NA
"14","forbes","F","San Antonio Spurs","15-11-18","LAC",27,7.505625
"15","forbes","F","San Antonio Spurs","18-11-18","GSW",14,8.05920833333333
"16","forbes","F","San Antonio Spurs","19-11-18","NOP",30,NA
"17","forbes","F","San Antonio Spurs","21-11-18","MEM",6,8.62424999999999
"18","forbes","F","San Antonio Spurs","23-11-18","IND",19,NA
"19","forbes","F","San Antonio Spurs","24-11-18","MIL",22,NA
"20","forbes","F","San Antonio Spurs","26-11-18","CHI",19,NA
"21","forbes","F","San Antonio Spurs","28-11-18","MIN",10,NA
"22","forbes","F","San Antonio Spurs","30-11-18","HOU",14,NA
"23","forbes","F","San Antonio Spurs","02-12-18","POR",9,NA
"24","forbes","F","San Antonio Spurs","04-12-18","UTA",11,NA
"25","forbes","F","San Antonio Spurs","05-12-18","LAL",2,NA
"26","forbes","F","San Antonio Spurs","07-12-18","LAL",11,NA
"27","forbes","F","San Antonio Spurs","09-12-18","UTA",17,7.25720833333333
"28","forbes","F","San Antonio Spurs","11-12-18","PHO",34,5.183125
"29","forbes","F","San Antonio Spurs","13-12-18","LAC",14,6.74016666666667
"30","forbes","F","San Antonio Spurs","15-12-18","CHI",0,NA
"31","forbes","F","San Antonio Spurs","17-12-18","PHI",6,NA
"32","forbes","F","San Antonio Spurs","19-12-18","ORL",23,NA
"33","forbes","F","San Antonio Spurs","21-12-18","MIN",28,NA
"34","forbes","F","San Antonio Spurs","22-12-18","HOU",16,5.68254166666667
"35","forbes","F","San Antonio Spurs","26-12-18","DEN",19,NA
"36","forbes","F","San Antonio Spurs","28-12-18","DEN",19,7.23529166666667
"37","forbes","F","San Antonio Spurs","29-12-18","LAC",14,NA
"38","forbes","F","San Antonio Spurs","31-12-18","BOS",21,NA
"39","forbes","F","San Antonio Spurs","03-01-19","TOR",32,NA
"40","forbes","F","San Antonio Spurs","05-01-19","MEM",9,NA
"41","forbes","F","San Antonio Spurs","07-01-19","DET",21,7.81670833333333
"42","forbes","F","San Antonio Spurs","09-01-19","MEM",20,7.865375
"43","forbes","F","San Antonio Spurs","10-01-19","OKC",20,6.72020833333333
"44","forbes","F","San Antonio Spurs","12-01-19","OKC",16,7.6545
"45","forbes","F","San Antonio Spurs","14-01-19","CHO",9,6.898875
"46","forbes","F","San Antonio Spurs","16-01-19","DAL",16,NA
"47","forbes","F","San Antonio Spurs","18-01-19","MIN",14,NA
"48","forbes","F","San Antonio Spurs","20-01-19","LAC",5,6.828
"49","forbes","F","San Antonio Spurs","23-01-19","PHI",22,NA
"50","forbes","F","San Antonio Spurs","26-01-19","NOP",15,NA
"51","forbes","F","San Antonio Spurs","27-01-19","WAS",24,6.95716666666666
"52","forbes","F","San Antonio Spurs","29-01-19","PHO",16,NA
"53","forbes","F","San Antonio Spurs","31-01-19","BRK",17,NA
"54","forbes","F","San Antonio Spurs","02-02-19","NOP",14,NA
"55","forbes","F","San Antonio Spurs","04-02-19","SAC",16,14.1952083333333
"56","forbes","F","San Antonio Spurs","06-02-19","GSW",14,NA
"57","forbes","F","San Antonio Spurs","07-02-19","POR",17,8.31366666666666
"58","forbes","F","San Antonio Spurs","09-02-19","UTA",16,NA
"59","forbes","F","San Antonio Spurs","12-02-19","MEM",9,NA
"60","forbes","F","San Antonio Spurs","22-02-19","TOR",11,4.71091666666667
"61","forbes","F","San Antonio Spurs","24-02-19","NYK",19,NA
"62","forbes","F","San Antonio Spurs","25-02-19","BRK",6,7.07033333333334
"63","forbes","F","San Antonio Spurs","27-02-19","DET",10,12.751125
"64","forbes","F","San Antonio Spurs","02-03-19","OKC",22,NA
"65","forbes","F","San Antonio Spurs","04-03-19","DEN",9,5.73733333333333
"66","forbes","F","San Antonio Spurs","06-03-19","ATL",10,NA
"67","forbes","F","San Antonio Spurs","10-03-19","MIL",16,NA
"68","forbes","F","San Antonio Spurs","12-03-19","DAL",6,7.87370833333333
"69","forbes","F","San Antonio Spurs","15-03-19","NYK",19,NA
"70","forbes","F","San Antonio Spurs","16-03-19","POR",15,NA
