"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","fox","PG","Sacramento Kings","2018-10-17","UTA",21,NA
"2","fox","PG","Sacramento Kings","2018-10-19","NOP",18,14.8164099028997
"3","fox","PG","Sacramento Kings","2018-10-21","OKC",24,15.1622450484076
"4","fox","PG","Sacramento Kings","2018-10-23","DEN",6,14.6094988946776
"5","fox","PG","Sacramento Kings","2018-10-24","MEM",21,13.8569629177075
"6","fox","PG","Sacramento Kings","2018-10-26","WAS",22,13.8506506537599
"7","fox","PG","Sacramento Kings","2018-10-29","MIA",22,11.9117265299999
"8","fox","PG","Sacramento Kings","2018-10-30","ORL",14,13.8556030584656
"9","fox","PG","Sacramento Kings","2018-11-01","ATL",37,12.5864382232946
"10","fox","PG","Sacramento Kings","2018-11-04","MIL",21,12.6782952004711
"11","fox","PG","Sacramento Kings","2018-11-07","TOR",24,13.1554088509068
"12","fox","PG","Sacramento Kings","2018-11-09","MIN",18,13.247565730899
"13","fox","PG","Sacramento Kings","2018-11-10","LAL",27,14.1329167655568
"14","fox","PG","Sacramento Kings","2018-11-12","SAS",25,14.326388998957
"15","fox","PG","Sacramento Kings","2018-11-16","MEM",25,13.3507190466283
"16","fox","PG","Sacramento Kings","2018-11-17","HOU",23,15.3089341713057
"17","fox","PG","Sacramento Kings","2018-11-19","OKC",6,13.0317396906324
"18","fox","PG","Sacramento Kings","2018-11-21","UTA",19,12.0415146795548
"19","fox","PG","Sacramento Kings","2018-11-24","GSW",9,14.0920677546498
"20","fox","PG","Sacramento Kings","2018-11-25","UTA",15,13.312934234685
"21","fox","PG","Sacramento Kings","2018-11-29","LAC",19,12.5875899850133
"22","fox","PG","Sacramento Kings","2018-12-01","IND",15,14.0753159730784
"23","fox","PG","Sacramento Kings","2018-12-04","PHO",18,14.8973891839289
"24","fox","PG","Sacramento Kings","2018-12-07","CLE",38,13.2784887194314
"25","fox","PG","Sacramento Kings","2018-12-08","IND",18,12.4477013311504
"26","fox","PG","Sacramento Kings","2018-12-10","CHI",33,14.118034229806
"27","fox","PG","Sacramento Kings","2018-12-12","MIN",15,14.7971132836034
"28","fox","PG","Sacramento Kings","2018-12-14","GSW",27,13.8275651735081
"29","fox","PG","Sacramento Kings","2018-12-16","DAL",28,14.6960637039036
"30","fox","PG","Sacramento Kings","2018-12-17","MIN",0,14.8941226597284
"31","fox","PG","Sacramento Kings","2018-12-19","OKC",34,11.46902972682
"32","fox","PG","Sacramento Kings","2018-12-21","MEM",18,14.0570688925802
"33","fox","PG","Sacramento Kings","2018-12-23","NOP",21,13.0915686232951
"34","fox","PG","Sacramento Kings","2018-12-26","LAC",19,13.1343664301903
"35","fox","PG","Sacramento Kings","2018-12-27","LAL",15,15.1662624530265
"36","fox","PG","Sacramento Kings","2018-12-30","LAL",28,15.0126513384452
"37","fox","PG","Sacramento Kings","2019-01-01","POR",13,13.3301249526148
"38","fox","PG","Sacramento Kings","2019-01-03","DEN",18,13.4912110792012
"39","fox","PG","Sacramento Kings","2019-01-05","GSW",8,13.3877285202044
"40","fox","PG","Sacramento Kings","2019-01-07","ORL",20,12.5907542839387
"41","fox","PG","Sacramento Kings","2019-01-08","PHO",30,12.5962341101651
"42","fox","PG","Sacramento Kings","2019-01-10","DET",14,14.0896078434551
"43","fox","PG","Sacramento Kings","2019-01-12","CHO",23,14.6835276319095
"44","fox","PG","Sacramento Kings","2019-01-14","POR",18,15.0285186873897
"45","fox","PG","Sacramento Kings","2019-01-17","CHO",10,13.4582552677395
"46","fox","PG","Sacramento Kings","2019-01-19","DET",16,13.9602491423374
"47","fox","PG","Sacramento Kings","2019-01-21","BRK",11,14.8289440084355
"49","fox","PG","Sacramento Kings","2019-01-25","MEM",24,13.7781318324949
"50","fox","PG","Sacramento Kings","2019-01-27","LAC",23,15.2139650736654
"51","fox","PG","Sacramento Kings","2019-01-30","ATL",9,14.038828638028
"52","fox","PG","Sacramento Kings","2019-02-02","PHI",21,12.0208175970929
"53","fox","PG","Sacramento Kings","2019-02-04","SAS",22,14.8881717549114
"54","fox","PG","Sacramento Kings","2019-02-06","HOU",6,13.6195319096075
"55","fox","PG","Sacramento Kings","2019-02-08","MIA",14,13.7734149642278
"56","fox","PG","Sacramento Kings","2019-02-10","PHO",21,13.1506962910016
"57","fox","PG","Sacramento Kings","2019-02-13","DEN",17,14.2698909675755
"58","fox","PG","Sacramento Kings","2019-02-21","GSW",22,13.4784031871539
"59","fox","PG","Sacramento Kings","2019-02-23","OKC",21,12.7058639956145
"60","fox","PG","Sacramento Kings","2019-02-25","MIN",27,15.2922451405951
"61","fox","PG","Sacramento Kings","2019-02-27","MIL",17,12.8643349809596
"62","fox","PG","Sacramento Kings","2019-03-01","LAC",12,13.7100557787209
"63","fox","PG","Sacramento Kings","2019-03-04","NYK",18,15.0356985071158
"64","fox","PG","Sacramento Kings","2019-03-06","BOS",16,13.0894650839822
"65","fox","PG","Sacramento Kings","2019-03-09","NYK",34,12.7701615188709
"66","fox","PG","Sacramento Kings","2019-03-11","WAS",27,13.5833430892975
"67","fox","PG","Sacramento Kings","2019-03-14","BOS",21,14.1970213908466
"68","fox","PG","Sacramento Kings","2019-03-15","PHI",18,13.1144454508799
"69","fox","PG","Sacramento Kings","2019-03-17","CHI",21,15.4213417295549
"70","fox","PG","Sacramento Kings","2019-03-19","BRK",31,12.4570567751109
"71","fox","PG","Sacramento Kings","2019-03-21","DAL",17,13.4984338712476
"72","fox","PG","Sacramento Kings","2019-03-23","PHO",13,12.1116556344234
"73","fox","PG","Sacramento Kings","2019-03-24","LAL",11,14.140428914024
"74","fox","PG","Sacramento Kings","2019-03-26","DAL",23,14.2002492192929
"75","fox","PG","Sacramento Kings","2019-03-28","NOP",27,13.3613936538808
"76","fox","PG","Sacramento Kings","2019-03-30","HOU",26,13.1747498552491
"77","fox","PG","Sacramento Kings","2019-03-31","SAS",12,14.744483656367
"78","fox","PG","Sacramento Kings","2019-04-02","HOU",9,13.5558671296012
"79","fox","PG","Sacramento Kings","2019-04-04","CLE",18,14.5536628167995
"80","fox","PG","Sacramento Kings","2019-04-05","UTA",4,12.4354426417258
"81","fox","PG","Sacramento Kings","2019-04-07","NOP",26,13.8254889132151
