"","Player","Position","Team","Date","Opp","Fantasy_Score","predictions_2019"
"1","james","SG","Los Angeles Lakers","2018-10-18","POR",26,NA
"2","james","SG","Los Angeles Lakers","2018-10-20","HOU",26,32.4392947712418
"3","james","SG","Los Angeles Lakers","2018-10-22","SAS",36,31.3357444444444
"4","james","SG","Los Angeles Lakers","2018-10-24","PHO",21,33.8241650793651
"5","james","SG","Los Angeles Lakers","2018-10-25","DEN",30,35.1656111111111
"6","james","SG","Los Angeles Lakers","2018-10-27","SAS",39,32.6171888888889
"7","james","SG","Los Angeles Lakers","2018-10-29","MIN",35,31.3219222222222
"8","james","SG","Los Angeles Lakers","2018-10-31","DAL",33,33.5506984126984
"9","james","SG","Los Angeles Lakers","2018-11-03","POR",30,33.4789611111111
"10","james","SG","Los Angeles Lakers","2018-11-04","TOR",22,33.1789974025974
"11","james","SG","Los Angeles Lakers","2018-11-07","MIN",30,32.9966666666666
"12","james","SG","Los Angeles Lakers","2018-11-10","SAC",31,35.6598
"13","james","SG","Los Angeles Lakers","2018-11-11","ATL",32,33.2458873015873
"14","james","SG","Los Angeles Lakers","2018-11-14","POR",54,32.8465888888889
"15","james","SG","Los Angeles Lakers","2018-11-17","ORL",28,32.2116888888889
"16","james","SG","Los Angeles Lakers","2018-11-18","MIA",63,30.8704777777778
"17","james","SG","Los Angeles Lakers","2018-11-21","CLE",36,33.1641428571429
"18","james","SG","Los Angeles Lakers","2018-11-23","UTA",26,34.4955111111111
"19","james","SG","Los Angeles Lakers","2018-11-25","ORL",28,32.9009829059829
"20","james","SG","Los Angeles Lakers","2018-11-27","DEN",14,34.4478251803752
"21","james","SG","Los Angeles Lakers","2018-11-29","IND",42,30.1549947712418
"22","james","SG","Los Angeles Lakers","2018-11-30","DAL",32,31.8622857142857
"23","james","SG","Los Angeles Lakers","2018-12-02","PHO",24,33.1291777777778
"24","james","SG","Los Angeles Lakers","2018-12-05","SAS",48,32.9240408424908
"25","james","SG","Los Angeles Lakers","2018-12-07","SAS",41,32.3033761904762
"26","james","SG","Los Angeles Lakers","2018-12-08","MEM",20,31.4359333333333
"27","james","SG","Los Angeles Lakers","2018-12-10","MIA",36,31.0977022803993
"28","james","SG","Los Angeles Lakers","2018-12-13","HOU",35,32.4194555555556
"29","james","SG","Los Angeles Lakers","2018-12-15","CHO",28,32.9886888888889
"30","james","SG","Los Angeles Lakers","2018-12-16","WAS",13,34.3412555555555
"31","james","SG","Los Angeles Lakers","2018-12-18","BRK",40,32.0501114379085
"32","james","SG","Los Angeles Lakers","2018-12-21","NOP",22,32.658
"33","james","SG","Los Angeles Lakers","2018-12-23","MEM",26,30.7039725490196
"34","james","SG","Los Angeles Lakers","2018-12-25","GSW",17,33.8438444444444
"52","james","SG","Los Angeles Lakers","2019-01-31","LAC",26,30.6660836601307
"54","james","SG","Los Angeles Lakers","2019-02-05","IND",22,33.0447
"55","james","SG","Los Angeles Lakers","2019-02-07","BOS",38,32.1393741758242
"56","james","SG","Los Angeles Lakers","2019-02-10","PHI",22,34.1027222222222
"57","james","SG","Los Angeles Lakers","2019-02-12","ATL",34,34.3634323232323
"58","james","SG","Los Angeles Lakers","2019-02-21","HOU",29,32.8001196248196
"59","james","SG","Los Angeles Lakers","2019-02-23","NOP",33,32.5660503267974
"60","james","SG","Los Angeles Lakers","2019-02-25","MEM",24,29.3051777777778
"61","james","SG","Los Angeles Lakers","2019-02-27","NOP",41,34.0840921738392
"62","james","SG","Los Angeles Lakers","2019-03-01","MIL",37,32.3217222222222
"63","james","SG","Los Angeles Lakers","2019-03-02","PHO",35,31.2947761904762
"64","james","SG","Los Angeles Lakers","2019-03-04","LAC",29,33.6100555555556
"65","james","SG","Los Angeles Lakers","2019-03-06","DEN",35,34.897619047619
"66","james","SG","Los Angeles Lakers","2019-03-09","BOS",32,34.0632095238095
"67","james","SG","Los Angeles Lakers","2019-03-12","CHI",40,33.6957555555556
"68","james","SG","Los Angeles Lakers","2019-03-14","TOR",31,33.0812888888889
"70","james","SG","Los Angeles Lakers","2019-03-17","NYK",33,33.0307984126984
"72","james","SG","Los Angeles Lakers","2019-03-22","BRK",27,34.2962984126984
"73","james","SG","Los Angeles Lakers","2019-03-24","SAC",35,33.8484123015873
"74","james","SG","Los Angeles Lakers","2019-03-26","WAS",25,32.8251555555556
