Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,19-10-17,29-090,LAC,@,LAL,W (+16),1,31:40:00,5,10,0.5,0,0,,4,4,1,9,15,24,1,1,0,1,3,14,19.3,11
2,2,21-10-17,29-092,LAC,,PHO,W (+42),1,27:41:00,3,5,0.6,0,0,,0,0,,3,10,13,0,0,0,0,3,6,7.6,21
3,3,24-10-17,29-095,LAC,,UTA,W (+18),1,36:54:00,5,9,0.556,0,0,,1,4,0.25,6,12,18,1,2,0,0,3,11,14.8,23
4,4,26-10-17,29-097,LAC,@,POR,W (+1),1,38:18:00,2,6,0.333,0,0,,3,6,0.5,5,13,18,1,0,3,0,0,7,12.6,6
5,5,28-10-17,29-099,LAC,,DET,L (-8),1,35:18:00,3,6,0.5,0,0,,1,3,0.333,8,6,14,0,0,3,2,2,7,9.9,-2
6,6,30-10-17,29-101,LAC,,GSW,L (-28),1,26:49:00,4,6,0.667,0,0,,2,2,1,2,9,11,0,0,0,1,3,10,9.3,-6
7,7,01-11-17,29-103,LAC,,DAL,W (+21),1,24:22:00,4,6,0.667,0,0,,5,8,0.625,3,6,9,0,1,2,3,2,13,11.7,9
8,8,04-11-17,29-106,LAC,,MEM,L (-9),1,34:32:00,6,7,0.857,0,0,,0,0,,5,5,10,3,0,3,0,3,12,17.5,-5
9,9,05-11-17,29-107,LAC,,MIA,L (-3),1,33:39:00,4,8,0.5,0,0,,2,3,0.667,11,8,19,3,0,1,1,2,10,16.7,-3
10,10,07-11-17,29-109,LAC,@,SAS,L (-13),1,28:36:00,4,5,0.8,0,0,,3,4,0.75,2,5,7,1,0,0,3,3,11,8.1,-21
11,11,10-11-17,29-112,LAC,@,OKC,L (-9),1,27:12:00,4,8,0.5,0,0,,1,2,0.5,7,5,12,1,1,0,4,4,9,7.1,-18
12,12,11-11-17,29-113,LAC,@,NOP,L (-8),1,37:06:00,6,7,0.857,0,0,,0,1,0,2,12,14,0,2,0,1,3,12,13.9,-5
13,13,13-11-17,29-115,LAC,,PHI,L (-4),1,30:16:00,1,2,0.5,0,0,,0,0,,1,4,5,0,0,1,3,6,2,-1.8,-3
14,14,17-11-17,29-119,LAC,@,CLE,L (-5),1,40:09:00,10,12,0.833,0,0,,0,2,0,7,15,22,1,1,3,4,2,20,23.2,-7
15,15,18-11-17,29-120,LAC,@,CHO,L (-15),1,33:12:00,4,5,0.8,0,0,,2,2,1,4,10,14,2,0,2,3,2,10,12.9,-21
16,16,20-11-17,29-122,LAC,@,NYK,L (-22),1,33:08:00,5,7,0.714,0,0,,0,0,,6,3,9,0,1,0,1,3,10,11,-22
17,17,22-11-17,29-124,LAC,@,ATL,W (+13),1,37:10:00,6,6,1,0,0,,2,2,1,2,14,16,2,0,2,1,2,14,18.8,20
18,18,25-11-17,29-127,LAC,@,SAC,W (+2),1,28:24:00,2,4,0.5,0,0,,1,2,0.5,2,14,16,0,1,1,2,4,5,6.3,-7
19,19,27-11-17,29-129,LAC,,LAL,W (+5),1,30:57:00,3,4,0.75,0,0,,3,3,1,2,7,9,0,1,0,5,4,9,5.3,20
20,20,30-11-17,29-132,LAC,,UTA,L (-19),1,30:59:00,3,5,0.6,0,0,,2,5,0.4,6,10,16,3,0,0,3,3,8,9.6,-9
21,21,02-12-17,29-134,LAC,@,DAL,L (-26),1,30:38:00,6,7,0.857,0,0,,2,4,0.5,5,12,17,0,0,2,1,2,14,17.4,-5
