Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,19-10-17,32-016,NYK,@,OKC,L (-21),1,31:27:00,4,9,0.444,1,2,0.5,0,0,,0,2,2,3,1,0,2,0,9,6,-22
2,2,21-10-17,32-018,NYK,,DET,L (-4),1,28:58:00,2,8,0.25,0,2,0,0,0,,0,2,2,1,2,0,3,2,4,-1.3,-5
3,3,24-10-17,32-021,NYK,@,BOS,L (-21),1,35:06:00,6,10,0.6,1,3,0.333,0,0,,0,2,2,3,1,0,1,2,13,10.3,-10
4,4,27-10-17,32-024,NYK,,BRK,W (+21),1,29:50:00,4,11,0.364,3,6,0.5,2,2,1,1,2,3,1,1,0,0,0,13,9.9,13
5,5,29-10-17,32-026,NYK,@,CLE,W (+19),1,38:24:00,6,11,0.545,3,6,0.5,0,0,,0,10,10,3,2,0,1,4,15,14.2,21
6,6,30-10-17,32-027,NYK,,DEN,W (+6),1,34:53:00,4,8,0.5,2,4,0.5,2,2,1,0,2,2,4,1,0,2,2,12,9.6,1
7,7,01-11-17,32-029,NYK,,HOU,L (-22),1,23:31,3,6,0.5,1,2,0.5,0,0,,0,5,5,1,1,0,1,1,7,5.8,-11
8,8,03-11-17,32-031,NYK,,PHO,W (+13),1,34:54:00,4,12,0.333,2,6,0.333,0,0,,1,4,5,3,2,0,1,4,10,6.6,7
9,9,05-11-17,32-033,NYK,,IND,W (+7),1,27:50:00,2,9,0.222,1,3,0.333,2,2,1,0,4,4,3,2,0,1,0,7,5.8,-9
10,10,07-11-17,32-035,NYK,,CHO,W (+5),1,35:45:00,2,6,0.333,0,1,0,2,2,1,1,2,3,9,0,0,2,0,6,8.2,1
11,11,08-11-17,32-036,NYK,@,ORL,L (-13),1,29:43:00,3,7,0.429,1,2,0.5,5,5,1,0,2,2,1,4,0,3,0,12,10.6,-20
12,12,11-11-17,32-039,NYK,,SAC,W (+27),1,29:30:00,7,9,0.778,5,6,0.833,1,2,0.5,0,2,2,3,0,0,0,0,20,18.8,20
13,13,13-11-17,32-041,NYK,,CLE,L (-3),1,36:46:00,6,12,0.5,2,5,0.4,1,1,1,1,3,4,1,2,0,1,3,15,11.1,-3
14,14,15-11-17,32-043,NYK,,UTA,W (+5),1,39:25:00,6,15,0.4,3,5,0.6,4,4,1,2,5,7,3,0,0,2,2,19,13.1,4
15,15,17-11-17,32-045,NYK,@,TOR,L (-23),1,35:13:00,1,9,0.111,1,5,0.2,0,0,,2,4,6,4,1,0,0,1,3,3.1,-25
16,16,20-11-17,32-048,NYK,,LAC,W (+22),1,26:44:00,3,5,0.6,1,2,0.5,3,3,1,1,4,5,3,2,1,1,2,10,12.6,11
17,17,22-11-17,32-050,NYK,,TOR,W (+8),1,33:24:00,7,12,0.583,1,2,0.5,0,1,0,2,3,5,7,3,0,1,2,15,17.4,18
18,18,24-11-17,32-052,NYK,@,ATL,L (-12),1,37:31:00,11,14,0.786,2,3,0.667,2,2,1,0,4,4,2,0,1,0,0,26,23.9,-2
19,19,25-11-17,32-053,NYK,@,HOU,L (-15),1,32:59:00,6,11,0.545,3,8,0.375,2,2,1,0,2,2,4,1,0,2,3,17,12.9,-5
20,20,27-11-17,32-055,NYK,,POR,L (-12),1,35:37:00,5,9,0.556,0,0,,4,5,0.8,0,0,0,2,1,0,0,1,14,11.3,-14
21,21,29-11-17,32-057,NYK,,MIA,W (+29),1,28:26:00,5,9,0.556,2,2,1,5,5,1,0,5,5,2,3,1,1,0,17,18.3,20
