Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2017-10-18,26-216,DET,,CHO,W (+12),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
2,,2017-10-20,26-218,DET,@,WAS,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2017-10-21,26-219,DET,@,NYK,W (+4),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
4,,2017-10-23,26-221,DET,,PHI,L (-11),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
5,,2017-10-25,26-223,DET,,MIN,W (+21),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
6,1,2017-10-28,26-226,DET,@,LAC,W (+8),0,6:36,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1,-0.5,-6
7,2,2017-10-29,26-227,DET,@,GSW,W (+8),0,14:28,2,4,.500,0,2,.000,0,0,,0,0,0,2,3,0,1,0,4,5.4,+26
8,3,2017-10-31,26-229,DET,@,LAL,L (-20),0,15:16,0,3,.000,0,3,.000,0,0,,0,2,2,2,1,1,1,0,0,0.6,-16
9,4,2017-11-03,26-232,DET,,MIL,W (+9),0,4:23,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-1
10,5,2017-11-04,26-233,DET,,SAC,W (+9),0,19:30,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-0.8,-3
11,6,2017-11-08,26-237,DET,,IND,W (+17),1,33:03,3,7,.429,1,4,.250,0,0,,0,1,1,3,1,0,0,0,7,6.7,+9
12,7,2017-11-10,26-239,DET,,ATL,W (+7),1,29:18,2,5,.400,2,5,.400,0,0,,1,1,2,1,1,1,0,4,6,5.1,+3
13,8,2017-11-12,26-241,DET,,MIA,W (+9),1,20:28,0,3,.000,0,1,.000,0,0,,1,2,3,2,0,0,0,0,0,0.6,-12
14,,2017-11-15,26-244,DET,@,MIL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,,2017-11-17,26-246,DET,@,IND,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,9,2017-11-19,26-248,DET,@,MIN,W (+3),0,10:22,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+5
17,10,2017-11-20,26-249,DET,,CLE,L (-28),0,6:46,3,3,1.000,0,0,,0,0,,1,0,1,2,2,0,0,0,6,9.2,+9
18,,2017-11-24,26-253,DET,@,OKC,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,,2017-11-27,26-256,DET,@,BOS,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,11,2017-11-29,26-258,DET,,PHO,W (+24),0,5:23,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-10
21,,2017-12-01,26-260,DET,@,WAS,L (-18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,,2017-12-02,26-261,DET,@,PHI,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,,2017-12-04,26-263,DET,@,SAS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,,2017-12-06,26-265,DET,@,MIL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,,2017-12-08,26-267,DET,,GSW,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,12,2017-12-10,26-269,DET,,BOS,L (-10),0,7:27,1,1,1.000,0,0,,0,1,.000,2,0,2,0,0,0,0,0,2,2.7,+4
27,13,2017-12-12,26-271,DET,,DEN,L (-19),1,22:26,3,5,.600,0,1,.000,0,0,,0,0,0,0,3,0,1,1,6,5.3,-22
28,14,2017-12-14,26-273,DET,@,ATL,W (+14),1,23:55,4,8,.500,2,4,.500,0,0,,0,1,1,0,1,0,0,2,10,6.5,+7
29,15,2017-12-15,26-274,DET,@,IND,W (+6),1,33:10,5,8,.625,3,4,.750,2,2,1.000,0,1,1,0,3,1,0,4,15,13.8,-6
