Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,29-099,LAC,@,LAL,W (+16),1,24:07,4,12,.333,2,5,.400,0,0,,3,0,3,1,2,1,1,3,10,6.5,+20
2,2,2017-10-21,29-101,LAC,,PHO,W (+42),1,26:11,6,8,.750,2,2,1.000,1,2,.500,0,2,2,2,5,0,2,4,15,14.8,+21
3,3,2017-10-24,29-104,LAC,,UTA,W (+18),1,42:28,7,14,.500,4,7,.571,1,2,.500,2,2,4,5,3,1,7,1,19,13.4,+18
4,4,2017-10-26,29-106,LAC,@,POR,W (+1),1,34:15,6,12,.500,1,5,.200,0,1,.000,5,2,7,0,1,0,3,4,13,7.1,-2
5,5,2017-10-28,29-108,LAC,,DET,L (-8),1,36:40,3,9,.333,3,5,.600,0,0,,0,2,2,8,2,1,4,3,9,7.6,-1
6,6,2017-10-30,29-110,LAC,,GSW,L (-28),1,25:56,5,11,.455,4,6,.667,0,0,,0,2,2,4,0,0,2,3,14,8.5,-13
7,7,2017-11-01,29-112,LAC,,DAL,W (+21),1,23:28,2,5,.400,2,5,.400,2,2,1.000,0,1,1,3,3,0,0,2,8,9.9,+10
8,8,2017-11-04,29-115,LAC,,MEM,L (-9),1,38:03,8,18,.444,1,8,.125,6,6,1.000,4,3,7,2,1,0,0,4,23,18.1,-5
9,9,2017-11-05,29-116,LAC,,MIA,L (-3),1,30:38,2,11,.182,2,4,.500,2,2,1.000,2,6,8,2,2,1,1,5,8,5.4,+2
10,10,2017-11-07,29-118,LAC,@,SAS,L (-13),1,29:33,2,11,.182,0,6,.000,2,2,1.000,0,3,3,3,0,0,3,4,6,-2.5,-26
11,,2017-11-10,29-121,LAC,@,OKC,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2017-11-11,29-122,LAC,@,NOP,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2017-11-13,29-124,LAC,,PHI,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2017-11-17,29-128,LAC,@,CLE,L (-5),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
