Rk,G,Date,Age,Tm,0,Opp,0,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,18-10-17,33-243,WAS,0,PHI,W (+5),1,34:26:00,7,12,0.583,0,0,0,2,3,0.667,5,12,17,1,0,3,1,3,16,17.7,16
2,2,20-10-17,33-245,WAS,0,DET,W (+4),1,34:35:00,4,6,0.667,0,0,0,2,4,0.5,2,7,9,1,1,0,0,5,10,9.8,3
3,3,23-10-17,33-248,WAS,@,DEN,W (+5),1,28:44:00,6,7,0.857,0,0,0,1,1,1,2,3,5,2,1,0,4,6,13,8.8,0
4,4,25-10-17,33-250,WAS,@,LAL,L (-3),1,37:15:00,4,8,0.5,0,0,0,3,6,0.5,1,13,14,1,0,1,1,3,11,9.6,-8
5,5,27-10-17,33-252,WAS,@,GSW,L (-3),1,32:34:00,8,16,0.5,0,0,0,2,2,1,2,2,4,4,0,2,1,0,18,15.2,4
6,6,29-10-17,33-254,WAS,@,SAC,W (+27),1,18:02,3,7,0.429,0,0,0,0,0,0,2,7,9,2,1,0,0,2,6,7.4,17
7,7,01-11-17,33-257,WAS,0,PHO,L (-6),1,33:21:00,3,6,0.5,0,0,0,3,4,0.75,4,9,13,2,0,2,3,3,9,9.7,2
8,8,03-11-17,33-259,WAS,0,CLE,L (-8),1,28:23:00,6,7,0.857,0,0,0,3,4,0.75,1,4,5,0,1,1,2,2,15,12.9,-10
9,9,05-11-17,33-261,WAS,@,TOR,W (+11),1,36:00:00,3,7,0.429,0,0,0,5,6,0.833,2,10,12,2,0,0,4,1,11,8.3,16
10,10,07-11-17,33-263,WAS,0,DAL,L (-14),1,24:40:00,4,5,0.8,0,0,0,0,1,0,1,4,5,0,0,0,0,0,8,7.6,-8
11,11,09-11-17,33-265,WAS,0,LAL,W (+16),1,29:41:00,4,5,0.8,0,0,0,0,0,0,1,4,5,1,0,0,3,5,8,3.7,12
12,12,11-11-17,33-267,WAS,0,ATL,W (+19),1,25:45:00,1,4,0.25,0,0,0,0,0,0,2,5,7,1,0,2,3,3,2,0.4,13
13,13,13-11-17,33-269,WAS,0,SAC,W (+18),1,30:58:00,7,11,0.636,0,0,0,4,4,1,2,5,7,1,0,1,0,2,18,16.6,21
14,14,15-11-17,33-271,WAS,@,MIA,W (+9),1,26:51:00,0,6,0,0,0,0,2,2,1,3,2,5,0,2,0,1,3,2,0.3,1
15,15,17-11-17,33-273,WAS,0,MIA,L (-3),1,27:36:00,5,9,0.556,0,0,0,1,2,0.5,4,9,13,0,0,1,2,2,11,9.7,1
16,16,19-11-17,33-275,WAS,@,TOR,L (-9),1,35:29:00,6,11,0.545,0,0,0,0,0,0,4,8,12,7,1,0,0,0,12,17.8,-3
17,17,20-11-17,33-276,WAS,@,MIL,W (+11),1,35:28:00,4,10,0.4,0,0,0,2,4,0.5,3,12,15,3,0,0,1,0,10,10.6,5
18,18,22-11-17,33-278,WAS,@,CHO,L (-5),1,36:45:00,4,4,1,0,0,0,0,0,0,3,8,11,3,0,2,1,3,8,12.6,-11
19,19,25-11-17,33-281,WAS,0,POR,L (-3),1,27:38:00,4,5,0.8,0,0,0,0,0,0,0,4,4,2,0,0,2,3,8,5.5,-8
20,20,28-11-17,33-284,WAS,@,MIN,W (+3),1,20:04,4,8,0.5,0,0,0,1,2,0.5,2,5,7,1,0,0,0,1,9,7.8,-14
21,21,29-11-17,33-285,WAS,@,PHI,L (-5),1,20:30,3,7,0.429,0,0,0,0,2,0,0,2,2,1,0,1,0,2,6,2.7,-20
22,22,01-12-17,33-287,WAS,0,DET,W (+18),1,31:35:00,5,10,0.5,0,0,0,2,4,0.5,5,7,12,3,4,0,1,2,12,16.1,22
23,23,04-12-17,33-290,WAS,@,UTA,L (-47),1,23:41,0,4,0,0,0,0,0,0,0,2,5,7,3,4,0,2,1,0,3.8,-17
24,24,05-12-17,33-291,WAS,@,POR,W (+14),1,22:40,1,6,0.167,0,0,0,2,2,1,2,5,7,7,2,0,1,2,4,8.2,11
25,25,07-12-17,33-293,WAS,@,PHO,W (+10),1,23:20,2,6,0.333,0,0,0,0,0,0,1,7,8,3,1,0,2,1,4,4.1,0
26,26,09-12-17,33-295,WAS,@,LAC,L (-1),1,24:14:00,4,6,0.667,0,0,0,1,1,1,2,6,8,4,0,1,4,2,9,8.3,0
27,27,12-12-17,33-298,WAS,@,BRK,L (-5),1,18:09,1,2,0.5,0,0,0,3,4,0.75,2,7,9,3,0,0,1,0,5,8.2,-13
28,28,13-12-17,33-299,WAS,0,MEM,W (+6),1,29:26:00,5,7,0.714,0,0,0,2,4,0.5,1,7,8,3,0,2,0,1,12,14.2,6
29,29,15-12-17,33-301,WAS,0,LAC,W (+9),1,27:17:00,3,6,0.5,0,0,0,3,5,0.6,1,5,6,1,2,1,0,3,9,9.6,12
30,30,17-12-17,33-303,WAS,0,CLE,L (-7),1,23:37,3,5,0.6,0,0,0,1,4,0.25,4,5,9,1,0,0,1,1,7,7.1,4
31,31,19-12-17,33-305,WAS,0,NOP,W (+10),1,29:43:00,5,7,0.714,0,0,0,0,0,0,4,10,14,2,0,3,1,3,10,14.2,11
32,32,22-12-17,33-308,WAS,@,BRK,L (-35),1,18:38,3,5,0.6,0,0,0,1,2,0.5,0,5,5,0,0,0,2,1,7,3.4,-12
33,33,23-12-17,33-309,WAS,0,ORL,W (+27),1,15:19,1,4,0.25,0,0,0,3,3,1,2,3,5,0,0,0,1,3,5,2.7,-5
34,34,25-12-17,33-311,WAS,@,BOS,W (+8),1,26:37:00,4,8,0.5,0,0,0,3,3,1,3,7,10,2,1,2,0,2,11,14.2,6
35,35,27-12-17,33-313,WAS,@,ATL,L (-14),1,20:42,1,6,0.167,0,0,0,0,0,0,0,4,4,0,0,0,1,2,2,-2.4,-1
36,36,29-12-17,33-315,WAS,0,HOU,W (+18),1,18:57,2,3,0.667,0,0,0,0,0,0,1,6,7,2,0,1,0,1,4,6.9,2
