
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-19,19-155,OKC,,NYK,W (+21),0,10:39,1,5,.200,0,2,.000,0,0,,0,0,0,0,0,0,1,1,2,-2.5,-1
2,2,2017-10-21,19-157,OKC,@,UTA,L (-9),0,9:43,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.1,+3
3,,2017-10-22,19-158,OKC,,MIN,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,3,2017-10-25,19-161,OKC,,IND,W (+18),0,1:32,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,0
5,4,2017-10-27,19-163,OKC,@,MIN,L (-3),0,2:42,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,3,0,-0.9,+2
6,5,2017-10-28,19-164,OKC,@,CHI,W (+32),0,4:48,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,+7
7,6,2017-10-31,19-167,OKC,@,MIL,W (+19),0,2:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
8,7,2017-11-03,19-170,OKC,,BOS,L (-7),0,1:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+2
9,,2017-11-05,19-172,OKC,@,POR,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,8,2017-11-07,19-174,OKC,@,SAC,L (-8),0,4:42,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6
11,,2017-11-09,19-176,OKC,@,DEN,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,,2017-11-10,19-177,OKC,,LAC,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,9,2017-11-12,19-179,OKC,,DAL,W (+13),0,2:26,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,1,0,3,1.3,-5
14,10,2017-11-15,19-182,OKC,,CHI,W (+13),0,3:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6
15,,2017-11-17,19-184,OKC,@,SAS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,2017-11-20,19-187,OKC,@,NOP,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,11,2017-11-22,19-189,OKC,,GSW,W (+17),0,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
18,,2017-11-24,19-191,OKC,,DET,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,12,2017-11-25,19-192,OKC,@,DAL,L (-16),0,20:59,3,5,.600,1,3,.333,0,0,,0,1,1,1,1,0,0,1,7,6.3,-20
20,13,2017-11-29,19-196,OKC,@,ORL,L (-13),0,19:32,0,3,.000,0,2,.000,0,0,,1,1,2,0,0,0,0,2,0,-1.9,-14
21,14,2017-12-01,19-198,OKC,,MIN,W (+4),0,2:40,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3
22,,2017-12-03,19-200,OKC,,SAS,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
23,,2017-12-05,19-202,OKC,,UTA,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,15,2017-12-07,19-204,OKC,@,BRK,L (-5),0,14:09,1,3,.333,0,2,.000,0,0,,0,0,0,0,1,0,1,2,2,-0.5,+1
