Rk,G,Date,Age,Tm,0,Opp,0,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,17-10-17,32-164,HOU,@,GSW,W (+1),1,33:04:00,2,9,0.222,0,4,0,0,0,0,1,7,8,10,2,1,1,4,4,8.4,-13
2,0,18-10-17,32-165,HOU,@,SAC,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,0,21-10-17,32-168,HOU,0,DAL,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,0,23-10-17,32-170,HOU,0,MEM,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,0,25-10-17,32-172,HOU,@,PHI,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,0,27-10-17,32-174,HOU,@,CHO,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,0,28-10-17,32-175,HOU,@,MEM,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,0,30-10-17,32-177,HOU,0,PHI,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,0,01-11-17,32-179,HOU,@,NYK,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,0,03-11-17,32-181,HOU,@,ATL,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,0,05-11-17,32-183,HOU,0,UTA,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,0,09-11-17,32-187,HOU,0,CLE,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,0,11-11-17,32-189,HOU,0,MEM,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,0,12-11-17,32-190,HOU,@,IND,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,0,14-11-17,32-192,HOU,0,TOR,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,2,16-11-17,32-194,HOU,@,PHO,W (+26),1,20:45,3,7,0.429,2,4,0.5,3,3,1,0,4,4,10,2,0,1,4,11,14.9,12
17,3,18-11-17,32-196,HOU,@,MEM,W (+22),1,24:12:00,6,11,0.545,4,7,0.571,1,1,1,0,2,2,6,2,1,3,3,17,15,10
18,4,22-11-17,32-200,HOU,0,DEN,W (+30),1,27:31:00,8,11,0.727,4,7,0.571,3,4,0.75,0,2,2,12,3,0,1,1,23,28.7,26
19,5,25-11-17,32-203,HOU,0,NYK,W (+15),1,30:53:00,2,12,0.167,0,4,0,2,2,1,0,2,2,13,2,0,1,1,6,8.7,13
20,6,27-11-17,32-205,HOU,0,BRK,W (+14),1,30:59:00,1,7,0.143,1,4,0.25,1,1,1,3,3,6,14,2,0,0,1,4,13.9,12
21,7,29-11-17,32-207,HOU,0,IND,W (+21),1,29:33:00,5,8,0.625,2,3,0.667,1,2,0.5,1,5,6,7,0,0,2,0,13,14.1,14
22,8,03-12-17,32-211,HOU,@,LAL,W (+23),1,32:57:00,8,17,0.471,4,7,0.571,1,1,1,0,4,4,6,2,0,5,5,21,12.7,8
23,9,07-12-17,32-215,HOU,@,UTA,W (+11),1,36:43:00,7,14,0.5,2,5,0.4,2,2,1,1,8,9,13,3,1,2,3,18,23.7,12
24,10,09-12-17,32-217,HOU,@,POR,W (+7),1,34:58:00,8,14,0.571,1,4,0.25,9,10,0.9,0,3,3,7,2,0,3,2,26,23,14
25,11,11-12-17,32-219,HOU,0,NOP,W (+7),1,32:30:00,8,16,0.5,3,9,0.333,1,2,0.5,0,9,9,6,3,1,2,2,20,19.4,4
26,12,13-12-17,32-221,HOU,0,CHO,W (+12),1,35:07:00,10,18,0.556,5,9,0.556,6,6,1,2,5,7,11,2,0,3,3,31,30.8,19
27,13,15-12-17,32-223,HOU,0,SAS,W (+15),1,32:10:00,10,18,0.556,5,9,0.556,3,3,1,0,4,4,8,7,1,3,3,28,29.7,29
28,14,16-12-17,32-224,HOU,0,MIL,W (+4),1,36:03:00,7,13,0.538,3,8,0.375,8,8,1,0,5,5,6,1,0,6,3,25,18.2,7
29,15,18-12-17,32-226,HOU,0,UTA,W (+21),1,34:34:00,6,13,0.462,3,9,0.333,3,4,0.75,2,8,10,10,1,2,2,3,18,20.9,20
30,16,20-12-17,32-228,HOU,0,LAL,L (-6),1,25:07:00,2,7,0.286,1,5,0.2,3,3,1,0,5,5,5,0,0,3,3,8,4.7,-16
31,0,22-12-17,32-230,HOU,0,LAC,L (-10),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
32,0,25-12-17,32-233,HOU,@,OKC,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,0,28-12-17,32-236,HOU,@,BOS,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,17,29-12-17,32-237,HOU,@,WAS,L (-18),1,25:32:00,3,11,0.273,2,5,0.4,0,0,0,0,1,1,6,2,0,1,2,8,6.2,-16
35,18,31-12-17,32-239,HOU,0,LAL,W (+6),1,42:23:00,8,20,0.4,3,10,0.3,9,9,1,0,5,5,10,0,0,2,5,28,21.7,4
36,19,03-01-18,32-242,HOU,@,ORL,W (+18),1,31:32:00,3,13,0.231,1,4,0.25,1,1,1,2,5,7,13,2,0,3,2,8,10.3,23
