Rk,G,Date,Age,Tm,0,Opp,0,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,17-10-17,32-165,HOU,@,GSW,W (+1),0,28:40:00,6,9,0.667,4,6,0.667,4,6,0.667,1,5,6,0,1,0,1,3,20,16.3,20
2,2,18-10-17,32-166,HOU,@,SAC,W (+5),0,29:06:00,2,3,0.667,2,3,0.667,0,0,0,2,0,2,1,0,1,3,4,6,2.9,-1
3,3,21-10-17,32-169,HOU,0,DAL,W (+16),0,26:46:00,1,6,0.167,1,5,0.2,0,0,0,0,4,4,1,2,0,0,1,3,2.7,3
4,4,23-10-17,32-171,HOU,0,MEM,L (-8),0,28:28:00,1,6,0.167,1,6,0.167,0,0,0,3,5,8,3,1,0,3,3,3,1.7,-16
5,5,25-10-17,32-173,HOU,@,PHI,W (+1),0,32:12:00,1,4,0.25,1,3,0.333,0,0,0,0,5,5,0,4,0,1,3,3,3.9,15
6,6,27-10-17,32-175,HOU,@,CHO,W (+16),0,37:09:00,3,10,0.3,3,6,0.5,0,0,0,1,12,13,2,0,1,1,3,9,7.4,28
7,7,28-10-17,32-176,HOU,@,MEM,L (-14),0,27:59:00,1,3,0.333,0,2,0,1,2,0.5,1,3,4,0,0,0,3,2,3,-1.3,-24
8,8,30-10-17,32-178,HOU,0,PHI,L (-8),0,30:40:00,1,6,0.167,1,5,0.2,2,2,1,2,3,5,2,2,0,0,6,5,4.5,-7
9,9,01-11-17,32-180,HOU,@,NYK,W (+22),0,26:11:00,1,4,0.25,1,4,0.25,0,0,0,0,3,3,2,2,1,0,2,3,4.8,4
10,10,03-11-17,32-182,HOU,@,ATL,W (+15),0,23:18,1,5,0.2,0,3,0,1,1,1,0,5,5,2,2,0,0,5,3,2.8,19
11,11,05-11-17,32-184,HOU,0,UTA,W (+27),0,29:45:00,1,2,0.5,1,2,0.5,0,0,0,1,8,9,2,1,1,1,1,3,6.8,20
12,12,09-11-17,32-188,HOU,0,CLE,W (+4),0,28:56:00,4,7,0.571,2,5,0.4,1,2,0.5,6,3,9,0,1,0,1,5,11,10.4,9
